std_dev,mean,name
312.9237127480115,541.5,id
264.61524348019213,578.57802583025841,T(K)
192.73146348451371,-41.835216992619934,Seebeck(uV/K)
0.70765100957146898,0.41124725062822926,kappaZT
67.807757660026496,23.728904274035688,Resist.(400K)
101.7123954808492,-50.671226678965581,Seebeck(400K)
0.0010616692097124261,0.0006986904636457563,Pf(W/K^2/m)
0.24991557592503338,0.20137675693690005,ZT
3.9387205973177806,4.2184475160627173,kappa(W/mK)
571.20483162957839,452.1843540178956,CellVolume(A^3)
3.2022839923929505,4.0803321033210329,FormulaUnitsperCell
