T(K),Z*10^-4reported,Resist.(Ohm.cm),Seebeck(uV/K),kappaZT,Resist.(400K),Seebeck(400K),Pf(W/K^2/m),ZT,kappa(W/mK),Conduct.(S/cm),CellVolume(A^3),FormulaUnitsperCell,Atomsperformulaunit,totalatomsperunitcell
578.58,0.85,22.53,-41.84,0.41,23.73,-50.67,0.00,0.20,4.22,1683.85,452.18,4.08,8.37,26.10
300,0.85,50,-462.97,1.29E-04,50,-462.97,4.29E-07,0.20,4.22,2.00E-02,206.97,4,5,20
400,0.85,50,-462.97,1.71E-04,50,-462.97,4.29E-07,0.20,4.22,2.00E-02,206.97,4,5,20
700,0.85,2.417491884,-470.65,6.41E-03,50,-462.97,9.16E-06,0.20,4.22,4.14E-01,206.97,4,5,20
1000,0.85,0.177489866,-279.83,4.41E-02,50,-462.97,4.41E-05,0.20,4.22,5.63E+00,206.97,4,5,20
300,0.85,0.046114613,-201.71,2.65E-02,0.046115,-201.71,8.82E-05,0.20,4.22,2.17E+01,207.74,4,5,20
400,0.85,0.046114613,-201.71,3.53E-02,0.046115,-201.71,8.82E-05,0.20,4.22,2.17E+01,207.74,4,5,20
700,0.85,0.065049112,-224.12,5.41E-02,0.046115,-201.71,7.72E-05,0.20,4.22,1.54E+01,207.74,4,5,20
1000,0.85,0.041084466,-190.18,8.80E-02,0.046115,-201.71,8.80E-05,0.20,4.22,2.43E+01,207.74,4,5,20
300,0.85,0.015255507,-123.59,3.00E-02,0.015256,-123.59,1.00E-04,0.20,4.22,6.56E+01,208.49,4,5,20
400,0.85,0.015255507,-123.59,4.00E-02,0.015256,-123.59,1.00E-04,0.20,4.22,6.56E+01,208.49,4,5,20
700,0.85,0.02167829,-173.53,9.72E-02,0.015256,-123.59,1.39E-04,0.20,4.22,4.61E+01,208.49,4,5,20
1000,0.85,0.022216199,-160.09,1.15E-01,0.015256,-123.59,1.15E-04,0.20,4.22,4.50E+01,208.49,4,5,20
300,0.85,0.012167108,-103.74,2.65E-02,0.012167,-103.74,8.84E-05,0.20,4.22,8.22E+01,209.24,4,5,20
400,0.85,0.012167108,-103.74,3.54E-02,0.012167,-103.74,8.84E-05,0.20,4.22,8.22E+01,209.24,4,5,20
700,0.85,0.017025942,-127.43,6.68E-02,0.012167,-103.74,9.54E-05,0.20,4.22,5.87E+01,209.24,4,5,20
1000,0.85,0.018839701,-135.75,9.78E-02,0.012167,-103.74,9.78E-05,0.20,4.22,5.31E+01,209.24,4,5,20
300,0.85,0.009966115,-83.24,2.09E-02,0.009966,-83.24,6.95E-05,0.20,4.22,1.00E+02,209.93,4,5,20
400,0.85,0.009966115,-83.24,2.78E-02,0.009966,-83.24,6.95E-05,0.20,4.22,1.00E+02,209.93,4,5,20
700,0.85,0.013632206,-118.46,7.21E-02,0.009966,-83.24,1.03E-04,0.20,4.22,7.34E+01,209.93,4,5,20
1000,0.85,0.015706625,-140.88,1.26E-01,0.009966,-83.24,1.26E-04,0.20,4.22,6.37E+01,209.93,4,5,20
700,0.85,152.9285824,483.47,1.07E-04,23.73,-50.67,1.53E-07,0.20,4.22,6.54E-03,72.93,4,2,8
1000,0.85,14.64759355,642.62,2.82E-03,23.73,-50.67,2.82E-06,0.20,4.22,6.83E-02,72.93,4,2,8
400,0.85,28.86769359,294.97,1.21E-04,28.867694,294.97,3.01E-07,7.46E-06,16.1715,3.46E-02,72.93,4,2,8
700,0.85,0.262887397,249.75,1.66E-02,28.867694,294.97,2.37E-05,0.001458067,11.391,3.80E+00,72.93,4,2,8
1000,0.85,0.046604403,262.41,1.48E-01,28.867694,294.97,1.48E-04,0.017497599,8.44401,2.15E+01,72.93,4,2,8
400,0.85,5.08646999,249.37,4.89E-04,5.08647,249.37,1.22E-06,5.87E-05,8.32761,1.97E-01,72.93,4,2,8
700,0.85,0.031620853,200.39,8.89E-02,5.08647,249.37,1.27E-04,0.014790072,6.0105,3.16E+01,72.93,4,2,8
1000,0.85,0.028478426,206.66,1.50E-01,5.08647,249.37,1.50E-04,0.02826674,5.30518,3.51E+01,72.93,4,2,8
400,0.85,0.064272309,116.91,8.51E-03,0.064272,116.91,2.13E-05,0.20,4.22,1.56E+01,72.93,4,2,8
700,0.85,0.019804922,97.88,3.39E-02,0.064272,116.91,4.84E-05,0.20,4.22,5.05E+01,72.93,4,2,8
1000,0.85,0.006660716,105.17,1.66E-01,0.064272,116.91,1.66E-04,0.20,4.22,1.50E+02,72.93,4,2,8
400,0.85,0.012343256,102.59,3.41E-02,0.012343,102.59,8.53E-05,0.009093419,3.75078,8.10E+01,72.93,4,2,8
700,0.85,0.004865541,77.37,8.61E-02,0.012343,102.59,1.23E-04,0.024636562,3.49599,2.06E+02,72.93,4,2,8
1000,0.85,0.003874392,79.49,1.63E-01,0.012343,102.59,1.63E-04,0.063968983,2.54979,2.58E+02,72.93,4,2,8
300,0.85,5.007604258,-572.04,1.96E-03,2.925075,-549.12,6.53E-06,0.20,4.22,2.00E-01,206.97,4,5,20
400,0.85,2.925074959,-549.12,4.12E-03,2.925075,-549.12,1.03E-05,0.001247231,3.30607,3.42E-01,206.97,4,5,20
700,0.85,0.643244379,-477.48,2.48E-02,2.925075,-549.12,3.54E-05,0.012122034,2.04673,1.55E+00,206.97,4,5,20
1000,0.85,0.110571194,-406.81,1.50E-01,2.925075,-549.12,1.50E-04,0.089158798,1.67874,9.04E+00,206.97,4,5,20
300,0.85,0.02032591,-100.04,1.48E-02,0.021537,-119.21,4.92E-05,0.005877928,2.51281,4.92E+01,206.97,4,5,20
400,0.85,0.021537238,-119.21,2.64E-02,0.021537,-119.21,6.60E-05,0.011603063,2.27454,4.64E+01,206.97,4,5,20
700,0.85,0.025914331,-184.31,9.18E-02,0.021537,-119.21,1.31E-04,0.048845628,1.87848,3.86E+01,206.97,4,5,20
1000,0.85,0.026637901,-205.16,1.58E-01,0.021537,-119.21,1.58E-04,0.091024352,1.73598,3.75E+01,206.97,4,5,20
300,0.85,0.008864209,-91.19,2.81E-02,0.009824,-114.15,9.38E-05,0.012410311,2.2675,1.13E+02,206.97,4,5,20
400,0.85,0.009823585,-114.15,5.31E-02,0.009824,-114.15,1.33E-04,0.024563669,2.16005,1.02E+02,206.97,4,5,20
700,0.85,0.012502015,-164.08,1.51E-01,0.009824,-114.15,2.15E-04,0.080246985,1.8785,8.00E+01,206.97,4,5,20
1000,0.85,0.014545545,-172.3,2.04E-01,0.009824,-114.15,2.04E-04,0.120991889,1.6869,6.88E+01,206.97,4,5,20
300,0.85,0.007325377,-72.23,2.14E-02,0.007258,-72.44,7.12E-05,0.20,4.22,1.37E+02,206.97,4,5,20
400,0.85,0.007257717,-72.44,2.89E-02,0.007258,-72.44,7.23E-05,0.20,4.22,1.38E+02,206.97,4,5,20
700,0.85,0.007633259,-80.65,5.97E-02,0.007258,-72.44,8.52E-05,0.20,4.22,1.31E+02,206.97,4,5,20
1000,0.85,0.008303286,-92.67,1.03E-01,0.007258,-72.44,1.03E-04,0.20,4.22,1.20E+02,206.97,4,5,20
300,0.85,0.02,-180,4.86E-02,0.0215409,-203.88,1.62E-04,0.01944,2.5,5.00E+01,208.21,4,5,20
400,0.85,0.0215409,-203.88,7.72E-02,0.021541,-203.88,1.93E-04,0.03719487,2.07513,4.64E+01,208.21,4,5,20
700,0.85,0.028358,-234.57,1.36E-01,0.021541,-203.88,1.94E-04,0.083293437,1.63069,3.53E+01,208.21,4,5,20
1000,0.85,0.0308794,-248.22,2.00E-01,0.021541,-203.88,2.00E-04,0.144503757,1.38075,3.24E+01,208.21,4,5,20
400,0.85,0.0183658,-153.66,5.14E-02,0.01837,-153.66,1.29E-04,0.20,4.22,5.44E+01,208.21,4,5,20
700,0.85,0.0241829,-195.78,1.11E-01,0.018366,-153.66,1.59E-04,0.20,4.22,4.14E+01,208.21,4,5,20
1000,0.85,0.0279999,-213.72,1.63E-01,0.018366,-153.66,1.63E-04,0.20,4.22,3.57E+01,208.21,4,5,20
400,0.85,0.00752127,-119.99,7.66E-02,0.007521,-119.99,1.91E-04,0.020374273,3.75786,1.33E+02,208.21,4,5,20
700,0.85,0.0101835,-137.22,1.29E-01,0.007521,-119.99,1.85E-04,0.039949192,3.23973,9.82E+01,208.21,4,5,20
1000,0.85,0.0126982,-152.89,1.84E-01,0.007521,-119.99,1.84E-04,0.063883122,2.88165,7.88E+01,208.21,4,5,20
400,0.85,0.00660169,-101.6,6.25E-02,0.006602,-101.6,1.56E-04,0.20,4.22,1.51E+02,208.21,4,5,20
700,0.85,0.00892335,-122.22,1.17E-01,0.006602,-101.6,1.67E-04,0.20,4.22,1.12E+02,208.21,4,5,20
1000,0.85,0.0113926,-144.55,1.83E-01,0.006602,-101.6,1.83E-04,0.20,4.22,8.78E+01,208.21,4,5,20
400,0.85,0.00395648,-60.57,3.71E-02,0.003956,-60.57,9.27E-05,0.20,4.22,2.53E+02,210.36,4,5,20
700,0.85,0.00529042,-81.62,8.81E-02,0.003956,-60.57,1.26E-04,0.20,4.22,1.89E+02,210.36,4,5,20
1000,0.85,0.00673792,-101.82,1.54E-01,0.003956,-60.57,1.54E-04,0.20,4.22,1.48E+02,210.36,4,5,20
400,0.85,0.00310502,-35.67,1.64E-02,0.003105,-35.67,4.10E-05,0.20,4.22,3.22E+02,210.36,4,5,20
700,0.85,0.00403027,-55.87,5.42E-02,0.003105,-35.67,7.75E-05,0.20,4.22,2.48E+02,210.36,4,5,20
1000,0.85,0.00504634,-67.87,9.13E-02,0.003105,-35.67,9.13E-05,0.20,4.22,1.98E+02,210.36,4,5,20
300,0.85,0.03054545,-211.97,4.41E-02,0.027541,-215.39,1.47E-04,0.20,4.22,3.27E+01,210.36,4,5,20
400,0.85,0.027541002,-215.39,6.74E-02,0.027541,-215.39,1.68E-04,0.20,4.22,3.63E+01,210.36,4,5,20
700,0.85,0.022105261,-227.92,1.65E-01,0.027541,-215.39,2.35E-04,0.20,4.22,4.52E+01,210.36,4,5,20
1000,0.85,0.022702713,-235.33,2.44E-01,0.027541,-215.39,2.44E-04,0.20,4.22,4.40E+01,210.36,4,5,20
300,0.85,0.014867258,-162.39,5.32E-02,0.012874,-163.53,1.77E-04,0.029786338,1.78652,6.73E+01,210.36,4,5,20
400,0.85,0.012873558,-163.53,8.31E-02,0.012874,-163.53,2.08E-04,0.051454878,1.6149,7.77E+01,210.36,4,5,20
700,0.85,0.011666665,-172.65,1.79E-01,0.012874,-163.53,2.56E-04,0.13283632,1.34638,8.57E+01,210.36,4,5,20
1000,0.85,0.010566033,-172.65,2.82E-01,0.012874,-163.53,2.82E-04,0.220343013,1.28033,9.46E+01,210.36,4,5,20
300,0.85,0.014545455,-104.27,2.24E-02,0.011351356,-118.52,7.48E-05,0.00787002,2.84951,6.88E+01,210.36,4,5,20
400,0.85,0.011351356,-118.52,4.95E-02,0.011351356,-118.52,1.24E-04,0.019260696,2.5699,8.81E+01,210.36,4,5,20
700,0.85,0.008659808,-144.73,1.69E-01,0.011351356,-118.52,2.42E-04,0.079142343,2.1394,1.15E+02,210.36,4,5,20
1000,0.85,0.008865405,-144.73,2.36E-01,0.011351356,-118.52,2.36E-04,0.121469186,1.94512,1.13E+02,210.36,4,5,20
400,0.85,0.00175816,23.09,1.21E-02,0.001177,23.09,3.03E-05,0.20,4.22,5.69E+02,1102.66,8,11,88
700,0.85,0.00192802,32.45,3.82E-02,0.001177,23.09,5.46E-05,0.20,4.22,5.19E+02,1102.66,8,11,88
1000,0.85,0.00203743,39.96,7.84E-02,0.001177,23.09,7.84E-05,0.20,4.22,4.91E+02,1102.66,8,11,88
400,0.85,0.00117083,21.17,1.53E-02,0.001759,21.17,3.83E-05,0.20,4.22,8.54E+02,1098.72,8,11,88
700,0.85,0.00134069,30.25,4.78E-02,0.001759,21.17,6.83E-05,0.20,4.22,7.46E+02,1098.72,8,11,88
1000,0.85,0.00153071,35.44,8.21E-02,0.001759,21.17,8.21E-05,0.20,4.22,6.53E+02,1098.72,8,11,88
400,0.85,0.00321831,17.72,3.90E-03,0.003218,17.72,9.75E-06,0.20,4.22,3.11E+02,1098.72,8,11,88
700,0.85,0.00310001,29.32,1.94E-02,0.003218,17.72,2.77E-05,0.20,4.22,3.23E+02,1098.72,8,11,88
1000,0.85,0.00297746,38.96,5.10E-02,0.003218,17.72,5.10E-05,0.20,4.22,3.36E+02,1098.72,8,11,88
400,0.85,0.00169298,19.3,8.80E-03,0.001693,19.3,2.20E-05,0.20,4.22,5.91E+02,1098.72,8,11,88
700,0.85,0.00176901,29.32,3.40E-02,0.001693,19.3,4.86E-05,0.20,4.22,5.65E+02,1098.72,8,11,88
1000,0.85,0.00181126,35.86,7.10E-02,0.001693,19.3,7.10E-05,0.20,4.22,5.52E+02,1098.72,8,11,88
400,0.85,0.00049075,-1.64,2.18E-04,0.00049075,-1.64,5.46E-07,0.20,4.22,1.88E+03,1090.63,8,11,88
700,0.85,0.00057405,5.38,3.52E-03,0.00049075,-1.64,5.03E-06,0.20,4.22,1.73E+03,1090.63,8,11,88
1000,0.85,0.00068672,12.43,2.25E-02,0.00049075,-1.64,2.25E-05,0.20,4.22,1.43E+03,1090.63,8,11,88
400,0.85,0.00101116,21.46,1.82E-02,0.00101116,21.46,4.55E-05,0.20,4.22,9.69E+02,1079.79,8,11,88
700,0.85,0.001050437,15.29,1.56E-02,0.00101116,21.46,2.22E-05,0.20,4.22,9.46E+02,1079.79,8,11,88
1000,0.85,0.001190611,17.26,2.50E-02,0.00101116,21.46,2.50E-05,0.20,4.22,8.30E+02,1079.79,8,11,88
400,0.85,0.0019954,15.44,4.78E-03,0.0019954,15.44,1.20E-05,0.20,4.22,5.02E+02,1069.75,8,11,88
700,0.85,0.001901516,17.15,1.08E-02,0.0019954,15.44,1.55E-05,0.20,4.22,5.15E+02,1069.75,8,11,88
1000,0.85,0.001998573,17.21,1.48E-02,0.0019954,15.44,1.48E-05,0.20,4.22,4.92E+02,1069.75,8,11,88
400,0.85,5.732274775,270,5.09E-04,5.732274775,270,1.27E-06,0.20,4.22,1.73E-01,1040.8,8,11,88
700,0.85,0.284067795,21.92,1.18E-04,5.732274775,270,1.69E-07,0.20,4.22,3.46E+00,1040.8,8,11,88
1000,0.85,0.084481186,17.26,3.52E-04,5.732274775,270,3.52E-07,0.20,4.22,1.16E+01,1040.8,8,11,88
300,0.85,2,210,6.62E-04,2,40,2.21E-06,0.20,4.22,5.00E-01,1104.29,8,11,88
400,0.85,0.25,40,2.56E-04,2,40,6.40E-07,0.20,4.22,4.00E+00,1104.29,8,11,88
700,0.85,0.017,22.7,2.12E-03,2,40,3.03E-06,0.20,4.22,5.88E+01,1104.29,8,11,88
1000,0.85,0.0101,26.5,6.95E-03,2,40,6.95E-06,0.20,4.22,9.90E+01,1104.29,8,11,88
300,0.85,1.536,173.9,5.91E-04,0.38,59.3,1.97E-06,0.20,4.22,6.51E-01,1104.29,8,11,88
400,0.85,0.38,59.3,3.70E-04,0.38,59.3,9.25E-07,0.20,4.22,2.63E+00,1104.29,8,11,88
700,0.85,0.031,22,1.09E-03,0.38,59.3,1.56E-06,0.20,4.22,3.23E+01,1104.29,8,11,88
400,0.85,0.011934,-90.28,2.73E-02,0.119152,-90.28,6.83E-05,0.01132081,2.41307,8.38E+01,210.93,4,5,20
700,0.85,0.0174057,-123.85,6.17E-02,0.119152,-90.28,8.81E-05,0.02553619,2.41558,5.75E+01,210.93,4,5,20
1000,0.85,0.0213208,-130.04,7.93E-02,0.119152,-90.28,7.93E-05,0.03329024,2.38232,4.69E+01,210.93,4,5,20
400,0.85,0.0107547,-90.28,3.03E-02,0.107849,-90.28,7.58E-05,0.019099891,1.5871,9.30E+01,209.02,4,5,20
700,0.85,0.0153302,-123.85,7.00E-02,0.107849,-90.28,1.00E-04,0.039875867,1.75635,6.52E+01,209.02,4,5,20
1000,0.85,0.0183962,-130.04,9.19E-02,0.107849,-90.28,9.19E-05,0.049893485,1.84225,5.44E+01,209.02,4,5,20
400,0.85,0.00698113,-90.28,4.67E-02,0.070644,-90.28,1.17E-04,0.022586208,2.06759,1.43E+02,208.44,4,5,20
700,0.85,0.00981132,-123.85,1.09E-01,0.070644,-90.28,1.56E-04,0.050077248,2.18525,1.02E+02,208.44,4,5,20
1000,0.85,0.0125,-130.04,1.35E-01,0.070644,-90.28,1.35E-04,0.060406906,2.23936,8.00E+01,208.44,4,5,20
400,0.85,0.0040566,-90.28,8.04E-02,0.040973,-90.28,2.01E-04,0.049042114,1.63871,2.47E+02,207.52,4,5,20
700,0.85,0.00599057,-123.85,1.79E-01,0.040973,-90.28,2.56E-04,0.111359887,1.60943,1.67E+02,207.52,4,5,20
1000,0.85,0.00825472,-130.04,2.05E-01,0.040973,-90.28,2.05E-04,0.128986958,1.58808,1.21E+02,207.52,4,5,20
400,0.85,0.460937,-600.16,3.13E-02,0.460937,-600.16,7.81E-05,0.010513925,2.97299,2.17E+00,206.97,4,5,20
700,0.85,0.233107,-374.8,4.22E-02,0.460937,-600.16,6.03E-05,0.019480754,2.16539,4.29E+00,206.97,4,5,20
1000,0.85,0.0834071,-320.53,1.23E-01,0.460937,-600.16,1.23E-04,0.058867739,2.09242,1.20E+01,206.97,4,5,20
300,0.657626,0.00576296,-74.98,2.93E-02,0.00638941,-93.82,9.76E-05,0.01972878,1.48358962,1.74E+02,209.58,4,5,20
400,0.876848,0.00638941,-93.82,5.51E-02,0.00638941,-93.82,1.38E-04,0.03507392,1.571097028,1.57E+02,209.58,4,5,20
700,1.18448,0.00831725,-124.55,1.31E-01,0.00638941,-93.82,1.87E-04,0.0829136,1.574660559,1.20E+02,209.58,4,5,20
1000,1.41281,0.0102451,-152.37,2.27E-01,0.00638941,-93.82,2.27E-04,0.141281,1.604043252,9.76E+01,209.58,4,5,20
300,0.162774,0.00607036,-46.31,1.06E-02,0.00549942,-44.36,3.53E-05,0.00488322,2.170001556,1.65E+02,213.15,4,5,20
400,0.244057,0.00549942,-44.36,1.43E-02,0.00549942,-44.36,3.58E-05,0.00976228,1.465854004,1.82E+02,213.15,4,5,20
700,0.39825,0.00525905,-55.34,4.08E-02,0.00549942,-44.36,5.82E-05,0.0278775,1.462482104,1.90E+02,213.15,4,5,20
1000,0.495538,0.00558501,-68.2,8.33E-02,0.00549942,-44.36,8.33E-05,0.0495538,1.680820436,1.79E+02,213.15,4,5,20
300,0.473219,0.00669346,-72.01,2.32E-02,0.00739839,-81.79,7.75E-05,0.01419657,1.637290898,1.49E+02,209.04,4,5,20
400,0.585012,0.00739839,-81.79,3.62E-02,0.00739839,-81.79,9.04E-05,0.02340048,1.545616006,1.35E+02,209.04,4,5,20
700,0.714005,0.00949715,-101.47,7.59E-02,0.00739839,-81.79,1.08E-04,0.04998035,1.518351106,1.05E+02,209.04,4,5,20
1000,0.770762,0.0115796,-114.58,1.13E-01,0.00739839,-81.79,1.13E-04,0.0770762,1.470944215,8.64E+01,209.04,4,5,20
300,0.173956,0.00511856,-43.69,1.12E-02,0.0043952,-45.05,3.73E-05,0.00521868,2.143851851,1.95E+02,212.3,4,5,20
400,0.302948,0.0043952,-45.05,1.85E-02,0.0043952,-45.05,4.62E-05,0.01211792,1.524264065,2.28E+02,212.3,4,5,20
700,0.486978,0.00376682,-50.98,4.83E-02,0.0043952,-45.05,6.90E-05,0.03408846,1.416678012,2.65E+02,212.3,4,5,20
1000,0.61941,0.00422589,-64.7,9.91E-02,0.0043952,-45.05,9.91E-05,0.061941,1.599402623,2.37E+02,212.3,4,5,20
300,0.763717,0.00437499,-70.53,3.41E-02,0.00477637,-81.71,1.14E-04,0.02291151,1.488878233,2.29E+02,212.3,4,5,20
400,0.943053,0.00477637,-81.71,5.59E-02,0.00477637,-81.71,1.40E-04,0.03772212,1.482392228,2.09E+02,212.3,4,5,20
700,1.3433,0.00591553,-112.78,1.51E-01,0.00477637,-81.71,2.15E-04,0.094031,1.600767692,1.69E+02,212.3,4,5,20
1000,1.58857,0.00710372,-135.59,2.59E-01,0.00477637,-81.71,2.59E-04,0.158857,1.629157717,1.41E+02,212.3,4,5,20
300,0.126573,0.00762653,-41.61,6.81E-03,0.00649209,-41.63,2.27E-05,0.00379719,1.793253904,1.31E+02,219.83,4,5,20
400,0.181921,0.00649209,-41.63,1.07E-02,0.00649209,-41.63,2.67E-05,0.00727684,1.46749541,1.54E+02,219.83,4,5,20
700,0.289423,0.00627506,-52.45,3.07E-02,0.00649209,-41.63,4.38E-05,0.02025961,1.514920146,1.59E+02,219.83,4,5,20
1000,0.340102,0.00707093,-60.8,5.23E-02,0.00649209,-41.63,5.23E-05,0.0340102,1.536920596,1.41E+02,219.83,4,5,20
300,0.42569,0.000433737,-26,4.68E-02,0.000509409,-31.98,1.56E-04,0.012368285,3.78035,2.31E+03,311.43,4,5,20
400,0.471206,0.000509409,-31.98,8.03E-02,0.000509409,-31.98,2.01E-04,0.019323409,4.15607,1.96E+03,311.43,4,5,20
700,0.408461,0.000526685,-33.62,1.50E-01,0.000509409,-31.98,2.15E-04,0.029357635,5.11561,1.90E+03,311.43,4,5,20
1000,0.85,0.000858552,-30.17,1.06E-01,0.000509409,-31.98,1.06E-04,0.20,4.22,1.16E+03,311.43,4,5,20
300,0.489661,0.000462332,-24.46,3.88E-02,0.000476044,-30.29,1.29E-04,0.014141215,2.74566,2.16E+03,311.43,4,5,20
400,0.572087,0.000476044,-30.29,7.71E-02,0.000476044,-30.29,1.93E-04,0.023313772,3.30636,2.10E+03,311.43,4,5,20
700,0.789864,0.000550518,-41.77,2.22E-01,0.000476044,-30.29,3.17E-04,0.055061518,4.0289,1.82E+03,311.43,4,5,20
1000,0.85,0.000601159,-33.71,1.89E-01,0.000476044,-30.29,1.89E-04,0.20,4.22,1.66E+03,311.43,4,5,20
300,0.600385,0.00130601,-42,4.05E-02,0.00127204,-51.37,1.35E-04,0.017568967,2.30636,7.66E+02,301.96,4,5,20
400,0.87475,0.00127204,-51.37,8.30E-02,0.00127204,-51.37,2.07E-04,0.035093259,2.36416,7.86E+02,301.96,4,5,20
700,1.62894,0.00117492,-65.77,2.58E-01,0.00127204,-51.37,3.68E-04,0.105399534,2.44509,8.51E+02,301.96,4,5,20
1000,0.85,0.00068696,-39.71,2.30E-01,0.00127204,-51.37,2.30E-04,0.20,4.22,1.46E+03,79.51,1,5,5
300,0.730808,0.00412774,-82.77,4.98E-02,0.00395079,-96.44,1.66E-04,0.021697095,2.2948,2.42E+02,301.96,4,5,20
400,1.08391,0.00395079,-96.44,9.42E-02,0.00395079,-96.44,2.35E-04,0.044149795,2.13295,2.53E+02,301.96,4,5,20
700,2.06201,0.00351048,-117.92,2.77E-01,0.00395079,-96.44,3.96E-04,0.139855751,1.98266,2.85E+02,301.96,4,5,20
1000,0.85,0.00093481,-52.48,2.95E-01,0.00395079,-96.44,2.95E-04,0.20,4.22,1.07E+03,79.51,1,5,5
400,0.85,0.00284295,-19.88,5.56E-03,0.002843,-19.88,1.39E-05,0.20,4.22,3.52E+02,339.43,6,5,30
700,0.85,0.00460122,-25.76,1.01E-02,0.002843,-19.88,1.44E-05,0.20,4.22,2.17E+02,339.43,6,5,30
1000,0.85,0.00621929,-27.03,1.17E-02,0.002843,-19.88,1.17E-05,0.20,4.22,1.61E+02,339.43,6,5,30
400,0.85,0.0026727,-20.95,6.57E-03,0.002673,-20.95,1.64E-05,0.20,4.22,3.74E+02,339.43,6,5,30
700,0.85,0.0041267,-28.46,1.37E-02,0.002673,-20.95,1.96E-05,0.20,4.22,2.42E+02,339.43,6,5,30
1000,0.85,0.00608691,-30.79,1.56E-02,0.002673,-20.95,1.56E-05,0.20,4.22,1.64E+02,339.43,6,5,30
400,0.85,0.00603672,-139.46,1.29E-01,0.006037,-139.46,3.22E-04,0.20,4.22,1.66E+02,210.39,4,5,20
700,0.85,0.00825459,-169.85,2.45E-01,0.006037,-139.46,3.50E-04,0.20,4.22,1.21E+02,210.39,4,5,20
1000,0.85,0.0110453,-187.5,3.18E-01,0.006037,-139.46,3.18E-04,0.20,4.22,9.05E+01,210.39,4,5,20
300,0.85,0.00055,162,1.43E+00,0.00055,162,4.77E-03,0.975,1.468195804,1.82E+03,509.21,3,5,15
300,0.85,0.00045,-174,2.02E+00,0.00045,-174,6.73E-03,0.5025,4.016716418,2.22E+03,509.21,3,5,15
300,0.85,0.00019,38,2.28E-01,0.00019,38,7.60E-04,0.0675,3.377777778,5.26E+03,479.59,3,5,15
300,0.85,0.000122,63,9.76E-01,0.00012,63,3.25E-03,0.1875,5.205245902,8.20E+03,479.59,3,5,15
300,0.85,0.000694238,78.67,2.67E-01,0.00085,122.16,8.91E-04,0.178443558,1.49875,1.44E+03,479.59,3,5,15
400,0.85,0.000849855,122.16,7.02E-01,0.00085,122.16,1.76E-03,0.458771734,1.53108,1.18E+03,479.59,3,5,15
700,0.85,0.00121347,199.03,2.29E+00,0.00085,122.16,3.26E-03,1.384355066,1.65073,8.24E+02,479.59,3,5,15
1000,0.85,0.00127604,165.79,2.15E+00,0.00085,122.16,2.15E-03,0.948261434,2.27167,7.84E+02,479.59,3,5,15
300,0.85,0.00597571,-279.86,3.93E-01,0.00677423,-295.57,1.31E-03,0.188435535,2.08661,1.67E+02,739.6462088,2,16.05,32.1
400,0.85,0.00677423,-295.57,5.16E-01,0.00677423,-295.57,1.29E-03,0.296861717,1.73762,1.48E+02,739.6462088,2,16.05,32.1
700,0.85,0.00843493,-334.67,9.30E-01,0.00677423,-295.57,1.33E-03,0.594360115,1.56386,1.19E+02,739.6462088,2,16.05,32.1
300,0.85,0.00292032,-257.3,6.80E-01,0.00340249,-276.16,2.27E-03,0.310801835,2.18825,3.42E+02,741.1439152,2,16.1,32.2
400,0.85,0.00340249,-276.16,8.97E-01,0.00340249,-276.16,2.24E-03,0.469668971,1.90897,2.94E+02,741.1439152,2,16.1,32.2
700,0.85,0.00433546,-309.85,1.55E+00,0.00340249,-276.16,2.21E-03,0.889593963,1.74246,2.31E+02,741.1439152,2,16.1,32.2
300,0.85,0.00187175,-246.59,9.75E-01,0.00212784,-266.33,3.25E-03,0.424000225,2.29861,5.34E+02,741.3896336,2,16.15,32.3
400,0.85,0.00212784,-266.33,1.33E+00,0.00212784,-266.33,3.33E-03,0.668512792,1.99464,4.70E+02,741.3896336,2,16.15,32.3
700,0.85,0.0026883,-301.53,2.37E+00,0.00212784,-266.33,3.38E-03,1.27177965,1.86154,3.72E+02,741.3896336,2,16.15,32.3
300,0.85,0.00149208,-222.15,9.92E-01,0.00174818,-248.19,3.31E-03,0.400777807,2.47577,6.70E+02,742.7420554,2,16.2,32.4
400,0.85,0.00174818,-248.19,1.41E+00,0.00174818,-248.19,3.52E-03,0.677502412,2.08031,5.72E+02,742.7420554,2,16.2,32.4
700,0.85,0.00214537,-281.75,2.59E+00,0.00174818,-248.19,3.70E-03,1.334133877,1.9414,4.66E+02,742.7420554,2,16.2,32.4
300,0.85,0.00113947,-217.11,1.24E+00,0.00134137,-247.94,4.14E-03,0.485042171,2.55853,8.78E+02,742.8896917,2,16.25,32.5
400,0.85,0.00134137,-247.94,1.83E+00,0.00134137,-247.94,4.58E-03,0.809426937,2.26473,7.46E+02,742.8896917,2,16.25,32.5
700,0.85,0.00165666,-275.7,3.21E+00,0.00134137,-247.94,4.59E-03,1.504651502,2.13453,6.04E+02,742.8896917,2,16.25,32.5
300,0.85,0.00151015,-211.82,8.91E-01,-247.31,-6.35E-03,2.97E-03,0.331609215,2.68777,6.62E+02,742.8896917,2,16.3,32.6
400,0.85,0.00179338,-247.31,1.36E+00,-247.31,-7.42E-03,3.41E-03,0.631923014,2.15872,5.58E+02,742.8896917,2,16.3,32.6
700,0.85,0.00228108,-278.47,2.38E+00,-247.31,-8.35E-03,3.40E-03,1.181566055,2.014,4.38E+02,742.8896917,2,16.3,32.6
