T(K),Z*10^-4reported,Resist.(Ohm.cm),Seebeck(uV/K),kappaZT,Resist.(400K),Seebeck(400K),Pf(W/K^2/m),ZT,kappa(W/mK),Conduct.(S/cm),CellVolume(A^3),FormulaUnitsperCell,Atomsperformulaunit,totalatomsperunitcell
1000,0.85,0.002271,245,2.64E+00,23.73,-50.67,2.64E-03,0.931656243,2.837,4.40E+02,147.11,2,6.77,13.54
300,0.85,0.01067,117,3.85E-02,23.73,-50.67,1.28E-04,0.019244142,2,9.37E+01,147.11,2,6.77,13.54
400,0.85,0.01122,121,5.22E-02,23.73,-50.67,1.30E-04,0.02747162,1.9,8.91E+01,147.11,2,6.77,13.54
700,0.85,0.009901,147,1.53E-01,23.73,-50.67,2.18E-04,0.084875265,1.8,1.01E+02,147.11,2,6.77,13.54
1000,0.85,0.008968,177,3.49E-01,23.73,-50.67,3.49E-04,0.19962406,1.75,1.12E+02,147.11,2,6.77,13.54
300,0.85,0.00813,117,5.05E-02,23.73,-50.67,1.68E-04,0.025256458,2,1.23E+02,147.11,2,6.77,13.54
400,0.85,0.005294,125.6,1.19E-01,23.73,-50.67,2.98E-04,0.06273382,1.9,1.89E+02,147.11,2,6.77,13.54
700,0.85,0.008006,153.6,2.06E-01,23.73,-50.67,2.95E-04,0.103141844,2,1.25E+02,147.11,2,6.77,13.54
1000,0.85,0.007283,184,4.65E-01,23.73,-50.67,4.65E-04,0.226762625,2.05,1.37E+02,147.11,2,6.77,13.54
300,0.85,0.01035,135.4,5.31E-02,23.73,-50.67,1.77E-04,0.026569797,2,9.66E+01,147.11,2,6.77,13.54
400,0.85,0.010156,140.8,7.81E-02,23.73,-50.67,1.95E-04,0.041095002,1.9,9.85E+01,147.11,2,6.77,13.54
700,0.85,0.009095,169,2.20E-01,23.73,-50.67,3.14E-04,0.10991039,2,1.10E+02,147.11,2,6.77,13.54
1000,0.85,0.007831,196.8,4.95E-01,23.73,-50.67,4.95E-04,0.241256545,2.05,1.28E+02,147.11,2,6.77,13.54
300,0.85,0.009357,132,5.59E-02,23.73,-50.67,1.86E-04,0.027932029,2,1.07E+02,147.11,2,6.77,13.54
400,0.85,0.009225,144.6,9.07E-02,23.73,-50.67,2.27E-04,0.047717381,1.9,1.08E+02,147.11,2,6.77,13.54
700,0.85,0.008503,173,2.46E-01,23.73,-50.67,3.52E-04,0.136881754,1.8,1.18E+02,147.11,2,6.77,13.54
1000,0.85,0.007622,205,5.51E-01,23.73,-50.67,5.51E-04,0.315065412,1.75,1.31E+02,147.11,2,6.77,13.54
300,0.85,0.000878,-92.5,2.92E-01,23.73,-50.67,9.75E-04,0.041764969,7,1.14E+03,59.36,1,5,5
400,0.85,0.001259,-119.5,4.54E-01,23.73,-50.67,1.13E-03,0.075616892,6,7.94E+02,59.36,1,5,5
700,0.85,0.00344,-185.3,6.99E-01,23.73,-50.67,9.98E-04,0.139739901,5,2.91E+02,59.36,1,5,5
1000,0.85,0.006614,-228,7.86E-01,23.73,-50.67,7.86E-04,0.174659813,4.5,1.51E+02,59.36,1,5,5
300,0.85,0.0004937,-82.2,4.11E-01,23.73,-50.67,1.37E-03,0.10088053,4.07,2.03E+03,59.36,1,5,5
400,0.85,0.0007634,-101.4,5.39E-01,23.73,-50.67,1.35E-03,0.160340956,3.36,1.31E+03,59.36,1,5,5
700,0.85,0.00273,-163,6.81E-01,23.73,-50.67,9.73E-04,0.356678749,1.91,3.66E+02,59.36,1,5,5
300,0.85,0.5868,294.8,4.44E-03,23.73,-50.67,1.48E-05,0.20,4.22,1.70E+00,140.56,3,4,12
400,0.85,0.2193,275.3,1.38E-02,23.73,-50.67,3.46E-05,0.20,4.22,4.56E+00,140.56,3,4,12
700,0.85,0.1023,292.4,5.85E-02,23.73,-50.67,8.36E-05,0.20,4.22,9.78E+00,140.56,3,4,12
