id,TK,SeebeckuVK,kappaZT,Resist.400K,Seebeck400K,PfWK2m,ZT,kappaWmK,CellVolumeA3,FormulaUnitsperCell
998,400,463,2.10E-02,23.73,-50.67,5.24E-05,0.017044865,1.23,770.68,2
999,700,390,4.53E-02,23.73,-50.67,6.48E-05,0.059326794,0.764,770.68,2
1000,300,193,3.37E-02,23.73,-50.67,1.12E-04,0.022589755,1.49,770.68,2
1001,400,219.9,8.64E-02,23.73,-50.67,2.16E-04,0.071958348,1.2,770.68,2
1002,700,261.7,2.65E-01,23.73,-50.67,3.78E-04,0.317966897,0.833,770.68,2
1003,300,142.7,1.21E-01,23.73,-50.67,4.02E-04,0.083262737,1.45,770.68,2
1004,400,161,1.91E-01,23.73,-50.67,4.76E-04,0.164306542,1.16,770.68,2
1005,700,200.8,3.85E-01,23.73,-50.67,5.50E-04,0.469577879,0.82,770.68,2
1006,1000,207,4.56E-01,23.73,-50.67,4.56E-04,0.649112203,0.703,770.68,2
1007,300,-413.39,5.77E-03,23.73,-50.67,1.92E-05,0.20,4.22,101.11,2
1008,400,-402.83,1.32E-02,23.73,-50.67,3.30E-05,0.20,4.22,101.11,2
1009,700,-370.39,5.34E-02,23.73,-50.67,7.63E-05,0.20,4.22,101.11,2
1010,1000,-371.87,1.00E-01,23.73,-50.67,1.00E-04,0.20,4.22,101.11,2
1011,300,-366.46,1.07E-02,23.73,-50.67,3.57E-05,0.001368757,7.82,101.11,2
1012,400,-343.86,2.21E-02,23.73,-50.67,5.53E-05,0.003218108,6.87,101.11,2
1013,700,-322.97,7.75E-02,23.73,-50.67,1.11E-04,0.016487796,4.7,101.11,2
1014,1000,-328.38,1.50E-01,23.73,-50.67,1.50E-04,0.04224856,3.54,101.11,2
1015,300,-335.01,8.18E-03,23.73,-50.67,2.73E-05,0.00128041,6.39,101.11,2
1016,400,-308.72,1.85E-02,23.73,-50.67,4.63E-05,0.00312239,5.93,101.11,2
1017,700,-292.02,7.87E-02,23.73,-50.67,1.12E-04,0.018127751,4.34,101.11,2
1018,1000,-294.72,1.51E-01,23.73,-50.67,1.51E-04,0.045042023,3.35,101.11,2
1019,300,-427.64,5.49E-03,23.73,-50.67,1.83E-05,0.20,4.22,303.23,6
1020,400,-413.39,1.33E-02,23.73,-50.67,3.32E-05,0.20,4.22,303.23,6
1021,700,-373.83,4.59E-02,23.73,-50.67,6.56E-05,0.20,4.22,303.23,6
1022,1000,-374.57,8.64E-02,23.73,-50.67,8.64E-05,0.20,4.22,303.23,6
1023,300,-364.5,8.53E-03,23.73,-50.67,2.84E-05,0.001246546,6.84,303.23,6
1024,400,-335.5,1.71E-02,23.73,-50.67,4.27E-05,0.002770165,6.17,303.23,6
1025,700,-317.81,6.58E-02,23.73,-50.67,9.40E-05,0.015587038,4.22,303.23,6
1026,1000,-323.46,1.20E-01,23.73,-50.67,1.20E-04,0.038917217,3.08,303.23,6
1027,300,-26.52,3.59E-02,23.73,-50.67,1.20E-04,0.015529759,2.31,1193,1
1028,400,-33.75,6.90E-02,23.73,-50.67,1.72E-04,0.029608249,2.33,1193,1
1029,700,-53.15,2.25E-01,23.73,-50.67,3.22E-04,0.091565242,2.46,1193,1
1030,1000,-79.05,5.59E-01,23.73,-50.67,5.59E-04,0.217595686,2.57,1193,1
1031,300,-752.2,5.82E-03,23.73,-50.67,1.94E-05,0.00019646,29.6,189.28,2
1032,400,-618.43,7.08E-03,23.73,-50.67,1.77E-05,0.000516571,13.7,189.28,2
1033,700,-99.7,2.85E-02,23.73,-50.67,4.08E-05,0.006813229,4.19,189.28,2
1034,1000,26.27,4.35E-02,23.73,-50.67,4.35E-05,0.011049908,3.94,189.28,2
1035,300,-249.39,3.14E-02,23.73,-50.67,1.05E-04,0.003200812,9.811,189.28,2
1036,400,-182.68,3.49E-02,23.73,-50.67,8.72E-05,0.00434609,8.03,189.28,2
