id,TK,SeebeckuVK,kappaZT,Resist.400K,Seebeck400K,PfWK2m,ZT,kappaWmK,CellVolumeA3,FormulaUnitsperCell
73,1000,-235.33,2.44E-01,0.027541,-215.39,2.44E-04,0.20,4.22,210.36,4
74,300,-162.39,5.32E-02,0.012874,-163.53,1.77E-04,0.029786338,1.78652,210.36,4
75,400,-163.53,8.31E-02,0.012874,-163.53,2.08E-04,0.051454878,1.6149,210.36,4
76,700,-172.65,1.79E-01,0.012874,-163.53,2.56E-04,0.13283632,1.34638,210.36,4
77,1000,-172.65,2.82E-01,0.012874,-163.53,2.82E-04,0.220343013,1.28033,210.36,4
78,300,-104.27,2.24E-02,0.011351356,-118.52,7.48E-05,0.00787002,2.84951,210.36,4
79,400,-118.52,4.95E-02,0.011351356,-118.52,1.24E-04,0.019260696,2.5699,210.36,4
80,700,-144.73,1.69E-01,0.011351356,-118.52,2.42E-04,0.079142343,2.1394,210.36,4
81,1000,-144.73,2.36E-01,0.011351356,-118.52,2.36E-04,0.121469186,1.94512,210.36,4
82,400,23.09,1.21E-02,0.001177,23.09,3.03E-05,0.20,4.22,1102.66,8
83,700,32.45,3.82E-02,0.001177,23.09,5.46E-05,0.20,4.22,1102.66,8
84,1000,39.96,7.84E-02,0.001177,23.09,7.84E-05,0.20,4.22,1102.66,8
85,400,21.17,1.53E-02,0.001759,21.17,3.83E-05,0.20,4.22,1098.72,8
86,700,30.25,4.78E-02,0.001759,21.17,6.83E-05,0.20,4.22,1098.72,8
87,1000,35.44,8.21E-02,0.001759,21.17,8.21E-05,0.20,4.22,1098.72,8
88,400,17.72,3.90E-03,0.003218,17.72,9.75E-06,0.20,4.22,1098.72,8
89,700,29.32,1.94E-02,0.003218,17.72,2.77E-05,0.20,4.22,1098.72,8
90,1000,38.96,5.10E-02,0.003218,17.72,5.10E-05,0.20,4.22,1098.72,8
91,400,19.3,8.80E-03,0.001693,19.3,2.20E-05,0.20,4.22,1098.72,8
92,700,29.32,3.40E-02,0.001693,19.3,4.86E-05,0.20,4.22,1098.72,8
93,1000,35.86,7.10E-02,0.001693,19.3,7.10E-05,0.20,4.22,1098.72,8
94,400,-1.64,2.18E-04,0.00049075,-1.64,5.46E-07,0.20,4.22,1090.63,8
95,700,5.38,3.52E-03,0.00049075,-1.64,5.03E-06,0.20,4.22,1090.63,8
96,1000,12.43,2.25E-02,0.00049075,-1.64,2.25E-05,0.20,4.22,1090.63,8
97,400,21.46,1.82E-02,0.00101116,21.46,4.55E-05,0.20,4.22,1079.79,8
98,700,15.29,1.56E-02,0.00101116,21.46,2.22E-05,0.20,4.22,1079.79,8
99,1000,17.26,2.50E-02,0.00101116,21.46,2.50E-05,0.20,4.22,1079.79,8
100,400,15.44,4.78E-03,0.0019954,15.44,1.20E-05,0.20,4.22,1069.75,8
101,700,17.15,1.08E-02,0.0019954,15.44,1.55E-05,0.20,4.22,1069.75,8
102,1000,17.21,1.48E-02,0.0019954,15.44,1.48E-05,0.20,4.22,1069.75,8
103,400,270,5.09E-04,5.732274775,270,1.27E-06,0.20,4.22,1040.8,8
104,700,21.92,1.18E-04,5.732274775,270,1.69E-07,0.20,4.22,1040.8,8
105,1000,17.26,3.52E-04,5.732274775,270,3.52E-07,0.20,4.22,1040.8,8
106,300,210,6.62E-04,2,40,2.21E-06,0.20,4.22,1104.29,8
107,400,40,2.56E-04,2,40,6.40E-07,0.20,4.22,1104.29,8
108,700,22.7,2.12E-03,2,40,3.03E-06,0.20,4.22,1104.29,8
109,1000,26.5,6.95E-03,2,40,6.95E-06,0.20,4.22,1104.29,8
110,300,173.9,5.91E-04,0.38,59.3,1.97E-06,0.20,4.22,1104.29,8
111,400,59.3,3.70E-04,0.38,59.3,9.25E-07,0.20,4.22,1104.29,8
112,700,22,1.09E-03,0.38,59.3,1.56E-06,0.20,4.22,1104.29,8
113,400,-90.28,2.73E-02,0.119152,-90.28,6.83E-05,0.01132081,2.41307,210.93,4
114,700,-123.85,6.17E-02,0.119152,-90.28,8.81E-05,0.02553619,2.41558,210.93,4
115,1000,-130.04,7.93E-02,0.119152,-90.28,7.93E-05,0.03329024,2.38232,210.93,4
116,400,-90.28,3.03E-02,0.107849,-90.28,7.58E-05,0.019099891,1.5871,209.02,4
117,700,-123.85,7.00E-02,0.107849,-90.28,1.00E-04,0.039875867,1.75635,209.02,4
118,1000,-130.04,9.19E-02,0.107849,-90.28,9.19E-05,0.049893485,1.84225,209.02,4
119,400,-90.28,4.67E-02,0.070644,-90.28,1.17E-04,0.022586208,2.06759,208.44,4
120,700,-123.85,1.09E-01,0.070644,-90.28,1.56E-04,0.050077248,2.18525,208.44,4
121,1000,-130.04,1.35E-01,0.070644,-90.28,1.35E-04,0.060406906,2.23936,208.44,4
122,400,-90.28,8.04E-02,0.040973,-90.28,2.01E-04,0.049042114,1.63871,207.52,4
123,700,-123.85,1.79E-01,0.040973,-90.28,2.56E-04,0.111359887,1.60943,207.52,4
124,1000,-130.04,2.05E-01,0.040973,-90.28,2.05E-04,0.128986958,1.58808,207.52,4
125,400,-600.16,3.13E-02,0.460937,-600.16,7.81E-05,0.010513925,2.97299,206.97,4
126,700,-374.8,4.22E-02,0.460937,-600.16,6.03E-05,0.019480754,2.16539,206.97,4
127,1000,-320.53,1.23E-01,0.460937,-600.16,1.23E-04,0.058867739,2.09242,206.97,4
128,300,-74.98,2.93E-02,0.00638941,-93.82,9.76E-05,0.01972878,1.48358962,209.58,4
129,400,-93.82,5.51E-02,0.00638941,-93.82,1.38E-04,0.03507392,1.571097028,209.58,4
130,700,-124.55,1.31E-01,0.00638941,-93.82,1.87E-04,0.0829136,1.574660559,209.58,4
131,1000,-152.37,2.27E-01,0.00638941,-93.82,2.27E-04,0.141281,1.604043252,209.58,4
132,300,-46.31,1.06E-02,0.00549942,-44.36,3.53E-05,0.00488322,2.170001556,213.15,4
133,400,-44.36,1.43E-02,0.00549942,-44.36,3.58E-05,0.00976228,1.465854004,213.15,4
134,700,-55.34,4.08E-02,0.00549942,-44.36,5.82E-05,0.0278775,1.462482104,213.15,4
135,1000,-68.2,8.33E-02,0.00549942,-44.36,8.33E-05,0.0495538,1.680820436,213.15,4
136,300,-72.01,2.32E-02,0.00739839,-81.79,7.75E-05,0.01419657,1.637290898,209.04,4
137,400,-81.79,3.62E-02,0.00739839,-81.79,9.04E-05,0.02340048,1.545616006,209.04,4
138,700,-101.47,7.59E-02,0.00739839,-81.79,1.08E-04,0.04998035,1.518351106,209.04,4
139,1000,-114.58,1.13E-01,0.00739839,-81.79,1.13E-04,0.0770762,1.470944215,209.04,4
140,300,-43.69,1.12E-02,0.0043952,-45.05,3.73E-05,0.00521868,2.143851851,212.3,4
141,400,-45.05,1.85E-02,0.0043952,-45.05,4.62E-05,0.01211792,1.524264065,212.3,4
142,700,-50.98,4.83E-02,0.0043952,-45.05,6.90E-05,0.03408846,1.416678012,212.3,4
143,1000,-64.7,9.91E-02,0.0043952,-45.05,9.91E-05,0.061941,1.599402623,212.3,4
144,300,-70.53,3.41E-02,0.00477637,-81.71,1.14E-04,0.02291151,1.488878233,212.3,4
145,400,-81.71,5.59E-02,0.00477637,-81.71,1.40E-04,0.03772212,1.482392228,212.3,4
146,700,-112.78,1.51E-01,0.00477637,-81.71,2.15E-04,0.094031,1.600767692,212.3,4
147,1000,-135.59,2.59E-01,0.00477637,-81.71,2.59E-04,0.158857,1.629157717,212.3,4
148,300,-41.61,6.81E-03,0.00649209,-41.63,2.27E-05,0.00379719,1.793253904,219.83,4
149,400,-41.63,1.07E-02,0.00649209,-41.63,2.67E-05,0.00727684,1.46749541,219.83,4
150,700,-52.45,3.07E-02,0.00649209,-41.63,4.38E-05,0.02025961,1.514920146,219.83,4
151,1000,-60.8,5.23E-02,0.00649209,-41.63,5.23E-05,0.0340102,1.536920596,219.83,4
152,300,-26,4.68E-02,0.000509409,-31.98,1.56E-04,0.012368285,3.78035,311.43,4
153,400,-31.98,8.03E-02,0.000509409,-31.98,2.01E-04,0.019323409,4.15607,311.43,4
154,700,-33.62,1.50E-01,0.000509409,-31.98,2.15E-04,0.029357635,5.11561,311.43,4
155,1000,-30.17,1.06E-01,0.000509409,-31.98,1.06E-04,0.20,4.22,311.43,4
156,300,-24.46,3.88E-02,0.000476044,-30.29,1.29E-04,0.014141215,2.74566,311.43,4
157,400,-30.29,7.71E-02,0.000476044,-30.29,1.93E-04,0.023313772,3.30636,311.43,4
158,700,-41.77,2.22E-01,0.000476044,-30.29,3.17E-04,0.055061518,4.0289,311.43,4
159,1000,-33.71,1.89E-01,0.000476044,-30.29,1.89E-04,0.20,4.22,311.43,4
160,300,-42,4.05E-02,0.00127204,-51.37,1.35E-04,0.017568967,2.30636,301.96,4
161,400,-51.37,8.30E-02,0.00127204,-51.37,2.07E-04,0.035093259,2.36416,301.96,4
162,700,-65.77,2.58E-01,0.00127204,-51.37,3.68E-04,0.105399534,2.44509,301.96,4
163,1000,-39.71,2.30E-01,0.00127204,-51.37,2.30E-04,0.20,4.22,79.51,1
164,300,-82.77,4.98E-02,0.00395079,-96.44,1.66E-04,0.021697095,2.2948,301.96,4
165,400,-96.44,9.42E-02,0.00395079,-96.44,2.35E-04,0.044149795,2.13295,301.96,4
166,700,-117.92,2.77E-01,0.00395079,-96.44,3.96E-04,0.139855751,1.98266,301.96,4
167,1000,-52.48,2.95E-01,0.00395079,-96.44,2.95E-04,0.20,4.22,79.51,1
168,400,-19.88,5.56E-03,0.002843,-19.88,1.39E-05,0.20,4.22,339.43,6
169,700,-25.76,1.01E-02,0.002843,-19.88,1.44E-05,0.20,4.22,339.43,6
170,1000,-27.03,1.17E-02,0.002843,-19.88,1.17E-05,0.20,4.22,339.43,6
171,400,-20.95,6.57E-03,0.002673,-20.95,1.64E-05,0.20,4.22,339.43,6
172,700,-28.46,1.37E-02,0.002673,-20.95,1.96E-05,0.20,4.22,339.43,6
173,1000,-30.79,1.56E-02,0.002673,-20.95,1.56E-05,0.20,4.22,339.43,6
174,400,-139.46,1.29E-01,0.006037,-139.46,3.22E-04,0.20,4.22,210.39,4
175,700,-169.85,2.45E-01,0.006037,-139.46,3.50E-04,0.20,4.22,210.39,4
176,1000,-187.5,3.18E-01,0.006037,-139.46,3.18E-04,0.20,4.22,210.39,4
177,300,162,1.43E+00,0.00055,162,4.77E-03,0.975,1.468195804,509.21,3
178,300,-174,2.02E+00,0.00045,-174,6.73E-03,0.5025,4.016716418,509.21,3
179,300,38,2.28E-01,0.00019,38,7.60E-04,0.0675,3.377777778,479.59,3
180,300,63,9.76E-01,0.00012,63,3.25E-03,0.1875,5.205245902,479.59,3
181,300,78.67,2.67E-01,0.00085,122.16,8.91E-04,0.178443558,1.49875,479.59,3
182,400,122.16,7.02E-01,0.00085,122.16,1.76E-03,0.458771734,1.53108,479.59,3
183,700,199.03,2.29E+00,0.00085,122.16,3.26E-03,1.384355066,1.65073,479.59,3
184,1000,165.79,2.15E+00,0.00085,122.16,2.15E-03,0.948261434,2.27167,479.59,3
185,300,-279.86,3.93E-01,0.00677423,-295.57,1.31E-03,0.188435535,2.08661,739.6462088,2
186,400,-295.57,5.16E-01,0.00677423,-295.57,1.29E-03,0.296861717,1.73762,739.6462088,2
187,700,-334.67,9.30E-01,0.00677423,-295.57,1.33E-03,0.594360115,1.56386,739.6462088,2
188,300,-257.3,6.80E-01,0.00340249,-276.16,2.27E-03,0.310801835,2.18825,741.1439152,2
189,400,-276.16,8.97E-01,0.00340249,-276.16,2.24E-03,0.469668971,1.90897,741.1439152,2
190,700,-309.85,1.55E+00,0.00340249,-276.16,2.21E-03,0.889593963,1.74246,741.1439152,2
191,300,-246.59,9.75E-01,0.00212784,-266.33,3.25E-03,0.424000225,2.29861,741.3896336,2
192,400,-266.33,1.33E+00,0.00212784,-266.33,3.33E-03,0.668512792,1.99464,741.3896336,2
193,700,-301.53,2.37E+00,0.00212784,-266.33,3.38E-03,1.27177965,1.86154,741.3896336,2
194,300,-222.15,9.92E-01,0.00174818,-248.19,3.31E-03,0.400777807,2.47577,742.7420554,2
195,400,-248.19,1.41E+00,0.00174818,-248.19,3.52E-03,0.677502412,2.08031,742.7420554,2
196,700,-281.75,2.59E+00,0.00174818,-248.19,3.70E-03,1.334133877,1.9414,742.7420554,2
197,300,-217.11,1.24E+00,0.00134137,-247.94,4.14E-03,0.485042171,2.55853,742.8896917,2
198,400,-247.94,1.83E+00,0.00134137,-247.94,4.58E-03,0.809426937,2.26473,742.8896917,2
199,700,-275.7,3.21E+00,0.00134137,-247.94,4.59E-03,1.504651502,2.13453,742.8896917,2
200,300,-211.82,8.91E-01,-247.31,-6.35E-03,2.97E-03,0.331609215,2.68777,742.8896917,2
201,400,-247.31,1.36E+00,-247.31,-7.42E-03,3.41E-03,0.631923014,2.15872,742.8896917,2
202,700,-278.47,2.38E+00,-247.31,-8.35E-03,3.40E-03,1.181566055,2.014,742.8896917,2
203,300,-192.21,9.77E-01,0.00113,-192.21,3.26E-03,0.380118325,2.57047,742.7420554,2
204,400,-214.39,1.43E+00,0.00113,-192.21,3.57E-03,0.644976838,2.21377,742.7420554,2
205,700,-247.54,2.68E+00,0.00113,-192.21,3.83E-03,1.385962072,1.93658,742.7420554,2
206,300,62.38,3.17E-01,0.00057,105,1.06E-03,0.079250912,3.99643,269.84,4
207,400,105,7.74E-01,0.00057,105,1.94E-03,0.289521835,2.675,269.84,4
208,700,212.86,1.85E+00,0.00057,105,2.65E-03,1.329723145,1.39286,269.84,4
209,300,50.95,1.88E-01,0.00062,98.33,6.28E-04,0.062528934,3.01429,269.84,4
210,400,98.33,6.25E-01,0.00062,98.33,1.56E-03,0.28172853,2.21786,269.84,4
211,700,209.05,1.91E+00,0.00062,98.33,2.72E-03,1.502553777,1.26786,269.84,4
212,1000,204,2.03E+00,0.00062,98.33,2.03E-03,1.703161584,1.18929,269.84,4
213,300,58.81,2.02E-01,0.00069,89.76,6.75E-04,0.075096639,2.69643,269.84,4
214,400,89.76,4.66E-01,0.00069,89.76,1.17E-03,0.216602878,2.15357,269.84,4
215,700,205.24,1.81E+00,0.00069,89.76,2.58E-03,1.392715388,1.29643,269.84,4
216,1000,197,1.96E+00,0.00069,89.76,1.96E-03,1.636067789,1.19643,269.84,4
217,300,140.4,2.16E-01,0.00355,197.87,7.19E-04,0.111032448,1.9421,269.84,4
218,400,201.46,4.58E-01,0.00355,197.87,1.14E-03,0.295085853,1.55169,269.84,4
219,700,323.94,8.42E-01,0.00355,197.87,1.20E-03,0.871875767,0.965347,269.84,4
220,300,136.17,2.32E-01,0.00291,195.21,7.75E-04,0.107163649,2.16832,269.84,4
221,400,195.21,5.24E-01,0.00291,195.21,1.31E-03,0.316428584,1.65594,269.84,4
222,700,327.66,1.40E+00,0.00291,195.21,2.00E-03,1.387416646,1.0099,269.84,4
223,300,169,4.70E-01,0.00208,192,1.57E-03,0.20,4.22,169.78,4
224,400,192,7.09E-01,0.00208,192,1.77E-03,0.20,4.22,169.78,4
225,700,242,1.36E+00,0.00208,192,1.94E-03,0.20,4.22,169.78,4
226,1000,273,1.80E+00,0.00208,192,1.80E-03,0.20,4.22,169.78,4
227,300,137,3.77E-01,0.00171,161,1.26E-03,0.20,4.22,169.78,4
228,400,161,6.08E-01,0.00171,161,1.52E-03,0.20,4.22,169.78,4
229,700,218.3,1.36E+00,0.00171,161,1.94E-03,0.20,4.22,169.78,4
230,1000,254,1.93E+00,0.00171,161,1.93E-03,0.20,4.22,169.78,4
231,300,127.631,3.67E-01,0.0015184,151.36,1.22E-03,0.08445088,4.33976,169.78,4
232,400,151.36,6.04E-01,0.0015184,151.36,1.51E-03,0.145604448,4.14497,169.78,4
233,700,209.823,1.41E+00,0.0015184,151.36,2.02E-03,0.369646753,3.81657,169.78,4
234,1000,248.114,2.09E+00,0.0015184,151.36,2.09E-03,0.580112442,3.59911,169.78,4
235,300,-122.807,3.87E-01,0.00133537,150.045,1.29E-03,0.093418564,4.13947,169.78,4
236,400,-150.045,6.74E-01,0.00133537,150.045,1.69E-03,0.159453467,4.22929,169.78,4
237,700,-230.877,1.92E+00,0.00133537,150.045,2.74E-03,0.51588803,3.72337,169.78,4
238,1000,-281.446,3.16E+00,0.00133537,150.045,3.16E-03,0.862981105,3.66568,169.78,4
239,300,-200,1.60E-01,0.0051,-245,5.33E-04,0.020725389,7.72,208.21,4
240,400,-245,4.71E-01,0.0051,-245,1.18E-03,0.07005719,6.72,208.21,4
241,700,-233,1.75E+00,0.0051,-245,2.50E-03,0.31783268,5.51,208.21,4
242,1000,-155,1.60E+00,0.0051,-245,1.60E-03,0.207738867,7.71,208.21,4
243,300,108.88,1.67E-01,0.00238,119.75,5.58E-04,0.076639366,2.18498,380.53,2
244,400,120,2.42E-01,0.00238,119.75,6.05E-04,0.113817986,2.1246,380.53,2
245,700,171.43,7.44E-01,0.00238,119.75,1.06E-03,0.3597171,2.0678,380.53,2
246,1000,293.62,2.35E+00,0.00238,119.75,2.35E-03,1.191133093,1.9731,380.53,2
247,300,-196.16,3.56E-02,0.03246,-196.16,1.19E-04,0.027669081,1.28517,1357.83,2
248,300,-219.62,3.48E-01,0.004159,-219.62,1.16E-03,0.20,4.22,1357.83,2
249,300,135.09,3.73E-01,0.001467,142.36,1.24E-03,0.162121393,2.3,236.38,2
250,400,142.36,5.53E-01,0.001467,142.36,1.38E-03,0.23521233,2.35,236.38,2
251,700,173.46,1.46E+00,0.001467,142.36,2.08E-03,0.559676118,2.6,236.38,2
252,1000,207.27,3.12E+00,0.001467,142.36,3.12E-03,1.074714975,2.9,236.38,2
253,700,-501.65,9.73E-03,181.543206,-500.55,1.39E-05,0.000903217,10.7741,47.62,2
254,1000,-549.67,9.44E-01,181.543206,-500.55,9.44E-04,0.128765807,7.33252,47.62,2
255,400,-289.98,3.18E-03,105.6963524,-289.98,7.96E-06,0.000176091,18.0719,47.62,2
256,700,-331.35,2.97E-02,105.6963524,-289.98,4.25E-05,0.002760142,10.7741,47.62,2
257,1000,-412.05,1.21E+00,105.6963524,-289.98,1.21E-03,0.186834709,6.46651,47.62,2
258,400,-206.81,1.18E-03,145.0474172,-206.81,2.95E-06,8.88E-05,13.2843,47.62,2
259,700,-204.62,3.52E-01,145.0474172,-206.81,5.02E-04,0.039095209,8.99308,47.62,2
260,1000,-229.87,1.64E+00,145.0474172,-206.81,1.64E-03,0.302205857,5.42075,47.62,2
261,400,-362.53,1.31E-02,40.25408877,-362.53,3.27E-05,0.001042084,12.5327,47.62,2
262,700,-434.32,1.25E+00,40.25408877,-362.53,1.78E-03,0.13499319,9.25454,47.62,2
263,1000,-443.73,3.62E+00,40.25408877,-362.53,3.62E-03,0.544835324,6.64626,47.62,2
264,300,-28.21,1.93E-02,0.00119,-31.41,6.42E-05,0.00625094,3.0834,1066.2,20
265,400,-31.41,3.31E-02,0.00119,-31.41,8.28E-05,0.010430437,3.1764,1066.2,20
266,700,-45.45,1.37E-01,0.00119,-31.41,1.96E-04,0.039515646,3.4727,1066.2,20
267,1000,-66.47,3.77E-01,0.00119,-31.41,3.77E-04,0.104674177,3.601,1066.2,20
268,300,-25.74,3.08E-01,0.0001,-25.21,1.03E-03,0.037628248,8.177,883.29,18
269,400,-25.21,2.60E-01,0.0001,-25.21,6.49E-04,0.033229299,7.817,883.29,18
270,700,-27.03,2.54E-01,0.0001,-25.21,3.62E-04,0.036878464,6.8797,883.29,18
271,1000,-33.86,3.76E-01,0.0001,-25.21,3.76E-04,0.059798731,6.2948,883.29,18
272,300,217.6,1.96E-02,23.73,-50.67,6.52E-05,0.20,4.22,338.06,4
273,300,130,1.58E-01,23.73,-50.67,5.28E-04,0.20,4.22,188.19,2
274,300,200,9.52E-05,23.73,-50.67,3.17E-07,0.20,4.22,189.68,2
275,300,20,3.08E-03,23.73,-50.67,1.03E-05,0.20,4.22,188.56,2
276,300,5,2.14E-04,23.73,-50.67,7.14E-07,0.20,4.22,188.45,2
277,300,6.3,3.72E-04,23.73,-50.67,1.24E-06,0.20,4.22,188.41,2
278,300,149.91,8.24E-02,23.73,-50.67,2.75E-04,0.20,4.22,380.25,4
279,400,140,7.26E-02,23.73,-50.67,1.82E-04,0.20,4.22,380.25,4
280,700,120,6.36E-02,23.73,-50.67,9.09E-05,0.20,4.22,380.25,4
281,1000,100,5.22E-02,23.73,-50.67,5.22E-05,0.20,4.22,380.25,4
282,300,54.72,3.21E-02,23.73,-50.67,1.07E-04,0.20,4.22,378.4,4
283,400,50,2.62E-02,23.73,-50.67,6.55E-05,0.20,4.22,378.4,4
284,700,40,1.84E-02,23.73,-50.67,2.63E-05,0.20,4.22,378.4,4
285,1000,30,1.10E-02,23.73,-50.67,1.10E-05,0.20,4.22,378.4,4
286,300,25,1.66E-02,23.73,-50.67,5.55E-05,0.20,4.22,190.07,2
287,400,20,1.08E-02,23.73,-50.67,2.69E-05,0.20,4.22,190.07,2
288,700,2,1.33E-04,23.73,-50.67,1.91E-07,0.20,4.22,190.07,2
289,1000,1,2.66E-05,23.73,-50.67,2.66E-08,0.20,4.22,190.07,2
290,300,0.5,1.59E-05,23.73,-50.67,5.30E-08,0.20,4.22,190.07,2
291,400,0.1,5.92E-07,23.73,-50.67,1.48E-09,0.20,4.22,190.07,2
292,700,0.1,5.14E-07,23.73,-50.67,7.35E-10,0.20,4.22,190.07,2
293,1000,0.1,4.49E-07,23.73,-50.67,4.49E-10,0.20,4.22,190.07,2
294,300,215,9.91E-02,0.016,240,3.30E-04,0.20,4.22,581.29,2
295,400,240,1.44E-01,0.016,240,3.60E-04,0.20,4.22,581.29,2
296,700,295,3.05E-01,0.016,240,4.35E-04,0.20,4.22,581.29,2
297,300,-175.031,4.87E-07,85.3104,-147,1.62E-09,0.20,4.22,555.64,8
298,400,-147,1.01E-05,85.3104,-147,2.53E-08,0.20,4.22,555.64,8
299,700,-100.68,4.20E-04,85.3104,-147,5.99E-07,0.20,4.22,555.64,8
300,1000,-84.81,2.00E-03,85.3104,-147,2.00E-06,0.20,4.22,555.64,8
301,300,277.076,2.15E-02,0.0699656,299.003,7.17E-05,0.20,4.22,136.95,3
302,400,299.003,5.11E-02,0.0699656,299.003,1.28E-04,0.20,4.22,136.95,3
303,700,321.429,1.30E-01,0.0699656,299.003,1.85E-04,0.20,4.22,136.95,3
304,1000,324.917,1.98E-01,0.0699656,299.003,1.98E-04,0.20,4.22,136.95,3
305,300,97.6744,1.59E-01,0.001937,115.116,5.31E-04,0.20,4.22,140.56,3
306,400,115.116,2.74E-01,0.001937,115.116,6.84E-04,0.20,4.22,140.56,3
307,700,145.515,4.63E-01,0.001937,115.116,6.62E-04,0.20,4.22,140.56,3
308,1000,167.94,6.91E-01,0.001937,115.116,6.91E-04,0.20,4.22,140.56,3
309,300,300,1.37E-02,0.119099,321.429,4.58E-05,0.20,4.22,131.12,3
310,400,321.429,3.47E-02,0.119099,321.429,8.67E-05,0.20,4.22,131.12,3
311,700,351.827,1.00E-01,0.119099,321.429,1.43E-04,0.20,4.22,131.12,3
312,1000,354.817,1.75E-01,0.119099,321.429,1.75E-04,0.20,4.22,131.12,3
313,300,97.9094,2.05E-07,809.8083993,107.578,6.83E-10,0.20,4.22,422.94,8
314,400,107.578,5.72E-07,809.8083993,107.578,1.43E-09,0.20,4.22,422.94,8
315,700,124.826,1.01E-05,809.8083993,107.578,1.44E-08,0.20,4.22,422.94,8
316,1000,160.801,3.99E-05,809.8083993,107.578,3.99E-08,0.20,4.22,422.94,8
317,300,92.5958,2.06E-07,707.6990581,97.0383,6.88E-10,0.20,4.22,422.94,8
318,400,97.0383,5.32E-07,707.6990581,97.0383,1.33E-09,0.20,4.22,422.94,8
319,700,113.502,1.05E-05,707.6990581,97.0383,1.50E-08,0.20,4.22,422.94,8
320,1000,113.937,3.56E-05,707.6990581,97.0383,3.56E-08,0.20,4.22,422.94,8
321,300,103.223,2.79E-06,99.41840235,106.01,9.31E-09,0.20,4.22,422.94,8
322,400,106.01,4.52E-06,99.41840235,106.01,1.13E-08,0.20,4.22,422.94,8
323,700,120.122,4.99E-05,99.41840235,106.01,7.13E-08,0.20,4.22,422.94,8
324,1000,125.61,9.93E-05,99.41840235,106.01,9.93E-08,0.20,4.22,422.94,8
325,300,103.833,5.77E-07,175.7080154,105.575,1.92E-09,0.20,4.22,422.94,8
326,400,105.575,2.54E-06,175.7080154,105.575,6.34E-09,0.20,4.22,422.94,8
327,700,121.603,1.99E-05,175.7080154,105.575,2.84E-08,0.20,4.22,422.94,8
328,1000,124.216,4.32E-05,175.7080154,105.575,4.32E-08,0.20,4.22,422.94,8
329,300,-650.91,4.20E-02,0.24169,-587.185,1.40E-04,0.011795412,3.56184,206.97,4
330,400,-587.185,5.71E-02,0.24169,-587.185,1.43E-04,0.018604483,3.06714,206.97,4
331,700,-362.325,8.91E-02,0.24169,-587.185,1.27E-04,0.041301192,2.15813,206.97,4
332,1000,-282.213,9.44E-02,0.24169,-587.185,9.44E-05,0.0457147,2.06537,206.97,4
333,300,-109.244,3.90E-02,0.0106095,-124.72,1.30E-04,0.026137018,1.49028,206.97,4
334,400,-124.72,5.86E-02,0.0106095,-124.72,1.47E-04,0.039848239,1.47173,206.97,4
335,700,-168.417,1.28E-01,0.0106095,-124.72,1.82E-04,0.079617332,1.60159,206.97,4
336,1000,-244.888,3.21E-01,0.0106095,-124.72,3.21E-04,0.199082397,1.61396,206.97,4
337,300,-52.8011,2.15E-02,0.0043831,-60.084,7.15E-05,0.012433026,1.72527,207.52,4
338,400,-60.084,3.29E-02,0.0043831,-60.084,8.24E-05,0.020104787,1.63869,207.52,4
339,700,-84.6639,8.16E-02,0.0043831,-60.084,1.17E-04,0.050580993,1.61396,207.52,4
340,1000,-128.361,2.11E-01,0.0043831,-60.084,2.11E-04,0.133018362,1.58304,207.52,4
341,300,-38.2353,1.30E-02,0.00359065,-49.1597,4.35E-05,0.007932122,1.64488,207.52,4
342,400,-49.1597,2.69E-02,0.00359065,-49.1597,6.73E-05,0.017140379,1.57067,207.52,4
343,700,-60.9944,5.41E-02,0.00359065,-49.1597,7.72E-05,0.032386419,1.66961,207.52,4
344,1000,-101.05,1.71E-01,0.00359065,-49.1597,1.71E-04,0.101172463,1.69435,207.52,4
345,300,-9.10364,1.63E-04,0.0120812,-20.028,5.45E-07,0.20,4.22,207.52,4
346,400,-20.028,1.33E-03,0.0120812,-20.028,3.32E-06,0.20,4.22,207.52,4
347,700,-50.9804,1.71E-02,0.0120812,-20.028,2.45E-05,0.20,4.22,207.52,4
348,1000,-25.4902,5.86E-03,0.0120812,-20.028,5.86E-06,0.20,4.22,207.52,4
349,300,-156.078,5.41E-02,0.0149487,-172.722,1.80E-04,0.005590487,9.6695,1035.51,16
350,400,-172.722,7.98E-02,0.0149487,-172.722,2.00E-04,0.011785614,6.77329,1035.51,16
351,700,-202.219,1.47E-01,0.0149487,-172.722,2.10E-04,0.038004955,3.86562,1035.51,16
352,1000,-222.736,2.16E-01,0.0149487,-172.722,2.16E-04,0.072577584,2.97623,1035.51,16
353,300,-88.5671,1.12E-01,0.0023498,-105.832,3.73E-04,0.012204602,9.1565,1035.51,16
354,400,-105.832,1.91E-01,0.0023498,-105.832,4.77E-04,0.027820846,6.85319,1035.51,16
355,700,-146.168,4.44E-01,0.0023498,-105.832,6.34E-04,0.113093689,3.92271,1035.51,16
356,1000,-177.832,7.03E-01,0.0023498,-105.832,7.03E-04,0.240031089,2.93072,1035.51,16
357,300,-50.4768,9.13E-02,0.000942337,-62.4767,3.04E-04,0.009402057,9.71545,1035.51,16
358,400,-62.4767,1.66E-01,0.000942337,-62.4767,4.14E-04,0.022990066,7.20692,1035.51,16
359,700,-94.1419,4.80E-01,0.000942337,-62.4767,6.86E-04,0.104779859,4.58432,1035.51,16
