id,T(K),Z*10^-4reported,Seebeck(uV/K),kappaZT,Resist.(400K),Seebeck(400K),Pf(W/K^2/m),ZT,kappa(W/mK)
1058,1000,0.85,-185.2,6.51E-01,23.73,-50.67,6.51E-04,0.475062535,1.37
1059,300,0.85,-40.87,8.21E-02,23.73,-50.67,2.74E-04,0.03339378,2.46
1060,400,0.85,-41.6,1.13E-01,23.73,-50.67,2.84E-04,0.043562128,2.605
1061,700,0.85,-57.6,2.90E-01,23.73,-50.67,4.14E-04,0.101964806,2.84
1062,1000,0.85,-74.7,5.73E-01,23.73,-50.67,5.73E-04,0.199618299,2.87
1063,300,0.85,-41,1.87E-02,23.73,-50.67,6.23E-05,0.015062724,1.24
1064,400,0.85,-89,1.18E-01,23.73,-50.67,2.96E-04,0.101046052,1.17
1065,700,0.85,-159,4.16E-01,23.73,-50.67,5.95E-04,0.416392941,1
1066,1000,0.85,-215,7.23E-01,23.73,-50.67,7.23E-04,0.810073831,0.893
1067,300,0.85,-210,4.46E-03,23.73,-50.67,1.49E-05,0.001603781,2.78
1068,400,0.85,-220,9.95E-03,23.73,-50.67,2.49E-05,0.003703402,2.687
1069,700,0.85,-268,7.70E-02,23.73,-50.67,1.10E-04,0.033716067,2.283
1070,1000,0.85,-316,8.14E-01,23.73,-50.67,8.14E-04,0.426280342,1.9089
1071,300,0.85,-92.4,9.06E-02,23.73,-50.67,3.02E-04,0.054370144,1.667
1072,300,0.85,-186,9.88E-03,23.73,-50.67,3.29E-05,0.005928401,1.667
1073,400,0.85,-194,1.03E-01,23.73,-50.67,2.58E-04,0.050985445,2.0205
1074,700,0.85,-201,2.02E+00,23.73,-50.67,2.89E-03,0.930169913,2.1717
1075,300,0.85,-220,2.35E-02,23.73,-50.67,7.82E-05,0.014075777,1.667
1076,400,0.85,-220,1.19E-01,23.73,-50.67,2.98E-04,0.059052551,2.0205
1077,700,0.85,-216,4.08E-01,23.73,-50.67,5.83E-04,0.187981765,2.1717
1078,300,0.85,-19,9.50E-03,23.73,-50.67,3.17E-05,0.003877551,2.45
1079,300,0.85,-107,6.87E-02,23.73,-50.67,2.29E-04,0.038163333,1.8
1080,300,0.85,120.75,3.71E-01,23.73,-50.67,1.24E-03,0.151567098,2.44922
1081,400,0.85,138.43,5.93E-01,23.73,-50.67,1.48E-03,0.235493287,2.51953
1082,700,0.85,191.49,1.44E+00,23.73,-50.67,2.05E-03,0.55966257,2.56641
1083,1000,0.85,231.64,2.16E+00,23.73,-50.67,2.16E-03,0.845526008,2.55469
