id,T(K),Z*10^-4reported,Seebeck(uV/K),kappaZT,Resist.(400K),Seebeck(400K),Pf(W/K^2/m),ZT,kappa(W/mK)
151,1000,0.340102,-60.8,5.23E-02,0.00649209,-41.63,5.23E-05,0.0340102,1.536920596
152,300,0.42569,-26,4.68E-02,0.000509409,-31.98,1.56E-04,0.012368285,3.78035
153,400,0.471206,-31.98,8.03E-02,0.000509409,-31.98,2.01E-04,0.019323409,4.15607
154,700,0.408461,-33.62,1.50E-01,0.000509409,-31.98,2.15E-04,0.029357635,5.11561
155,1000,0.85,-30.17,1.06E-01,0.000509409,-31.98,1.06E-04,0.20,4.22
156,300,0.489661,-24.46,3.88E-02,0.000476044,-30.29,1.29E-04,0.014141215,2.74566
157,400,0.572087,-30.29,7.71E-02,0.000476044,-30.29,1.93E-04,0.023313772,3.30636
158,700,0.789864,-41.77,2.22E-01,0.000476044,-30.29,3.17E-04,0.055061518,4.0289
159,1000,0.85,-33.71,1.89E-01,0.000476044,-30.29,1.89E-04,0.20,4.22
160,300,0.600385,-42,4.05E-02,0.00127204,-51.37,1.35E-04,0.017568967,2.30636
161,400,0.87475,-51.37,8.30E-02,0.00127204,-51.37,2.07E-04,0.035093259,2.36416
162,700,1.62894,-65.77,2.58E-01,0.00127204,-51.37,3.68E-04,0.105399534,2.44509
163,1000,0.85,-39.71,2.30E-01,0.00127204,-51.37,2.30E-04,0.20,4.22
164,300,0.730808,-82.77,4.98E-02,0.00395079,-96.44,1.66E-04,0.021697095,2.2948
165,400,1.08391,-96.44,9.42E-02,0.00395079,-96.44,2.35E-04,0.044149795,2.13295
166,700,2.06201,-117.92,2.77E-01,0.00395079,-96.44,3.96E-04,0.139855751,1.98266
167,1000,0.85,-52.48,2.95E-01,0.00395079,-96.44,2.95E-04,0.20,4.22
168,400,0.85,-19.88,5.56E-03,0.002843,-19.88,1.39E-05,0.20,4.22
169,700,0.85,-25.76,1.01E-02,0.002843,-19.88,1.44E-05,0.20,4.22
170,1000,0.85,-27.03,1.17E-02,0.002843,-19.88,1.17E-05,0.20,4.22
171,400,0.85,-20.95,6.57E-03,0.002673,-20.95,1.64E-05,0.20,4.22
172,700,0.85,-28.46,1.37E-02,0.002673,-20.95,1.96E-05,0.20,4.22
173,1000,0.85,-30.79,1.56E-02,0.002673,-20.95,1.56E-05,0.20,4.22
174,400,0.85,-139.46,1.29E-01,0.006037,-139.46,3.22E-04,0.20,4.22
175,700,0.85,-169.85,2.45E-01,0.006037,-139.46,3.50E-04,0.20,4.22
176,1000,0.85,-187.5,3.18E-01,0.006037,-139.46,3.18E-04,0.20,4.22
177,300,0.85,162,1.43E+00,0.00055,162,4.77E-03,0.975,1.468195804
178,300,0.85,-174,2.02E+00,0.00045,-174,6.73E-03,0.5025,4.016716418
179,300,0.85,38,2.28E-01,0.00019,38,7.60E-04,0.0675,3.377777778
180,300,0.85,63,9.76E-01,0.00012,63,3.25E-03,0.1875,5.205245902
181,300,0.85,78.67,2.67E-01,0.00085,122.16,8.91E-04,0.178443558,1.49875
182,400,0.85,122.16,7.02E-01,0.00085,122.16,1.76E-03,0.458771734,1.53108
183,700,0.85,199.03,2.29E+00,0.00085,122.16,3.26E-03,1.384355066,1.65073
184,1000,0.85,165.79,2.15E+00,0.00085,122.16,2.15E-03,0.948261434,2.27167
185,300,0.85,-279.86,3.93E-01,0.00677423,-295.57,1.31E-03,0.188435535,2.08661
186,400,0.85,-295.57,5.16E-01,0.00677423,-295.57,1.29E-03,0.296861717,1.73762
187,700,0.85,-334.67,9.30E-01,0.00677423,-295.57,1.33E-03,0.594360115,1.56386
188,300,0.85,-257.3,6.80E-01,0.00340249,-276.16,2.27E-03,0.310801835,2.18825
189,400,0.85,-276.16,8.97E-01,0.00340249,-276.16,2.24E-03,0.469668971,1.90897
190,700,0.85,-309.85,1.55E+00,0.00340249,-276.16,2.21E-03,0.889593963,1.74246
191,300,0.85,-246.59,9.75E-01,0.00212784,-266.33,3.25E-03,0.424000225,2.29861
192,400,0.85,-266.33,1.33E+00,0.00212784,-266.33,3.33E-03,0.668512792,1.99464
193,700,0.85,-301.53,2.37E+00,0.00212784,-266.33,3.38E-03,1.27177965,1.86154
194,300,0.85,-222.15,9.92E-01,0.00174818,-248.19,3.31E-03,0.400777807,2.47577
195,400,0.85,-248.19,1.41E+00,0.00174818,-248.19,3.52E-03,0.677502412,2.08031
196,700,0.85,-281.75,2.59E+00,0.00174818,-248.19,3.70E-03,1.334133877,1.9414
197,300,0.85,-217.11,1.24E+00,0.00134137,-247.94,4.14E-03,0.485042171,2.55853
198,400,0.85,-247.94,1.83E+00,0.00134137,-247.94,4.58E-03,0.809426937,2.26473
199,700,0.85,-275.7,3.21E+00,0.00134137,-247.94,4.59E-03,1.504651502,2.13453
200,300,0.85,-211.82,8.91E-01,-247.31,-6.35E-03,2.97E-03,0.331609215,2.68777
201,400,0.85,-247.31,1.36E+00,-247.31,-7.42E-03,3.41E-03,0.631923014,2.15872
202,700,0.85,-278.47,2.38E+00,-247.31,-8.35E-03,3.40E-03,1.181566055,2.014
203,300,0.85,-192.21,9.77E-01,0.00113,-192.21,3.26E-03,0.380118325,2.57047
204,400,0.85,-214.39,1.43E+00,0.00113,-192.21,3.57E-03,0.644976838,2.21377
205,700,0.85,-247.54,2.68E+00,0.00113,-192.21,3.83E-03,1.385962072,1.93658
206,300,0.85,62.38,3.17E-01,0.00057,105,1.06E-03,0.079250912,3.99643
207,400,0.85,105,7.74E-01,0.00057,105,1.94E-03,0.289521835,2.675
208,700,0.85,212.86,1.85E+00,0.00057,105,2.65E-03,1.329723145,1.39286
209,300,0.85,50.95,1.88E-01,0.00062,98.33,6.28E-04,0.062528934,3.01429
210,400,0.85,98.33,6.25E-01,0.00062,98.33,1.56E-03,0.28172853,2.21786
211,700,0.85,209.05,1.91E+00,0.00062,98.33,2.72E-03,1.502553777,1.26786
212,1000,0.85,204,2.03E+00,0.00062,98.33,2.03E-03,1.703161584,1.18929
213,300,0.85,58.81,2.02E-01,0.00069,89.76,6.75E-04,0.075096639,2.69643
214,400,0.85,89.76,4.66E-01,0.00069,89.76,1.17E-03,0.216602878,2.15357
215,700,0.85,205.24,1.81E+00,0.00069,89.76,2.58E-03,1.392715388,1.29643
216,1000,0.85,197,1.96E+00,0.00069,89.76,1.96E-03,1.636067789,1.19643
217,300,0.85,140.4,2.16E-01,0.00355,197.87,7.19E-04,0.111032448,1.9421
218,400,0.85,201.46,4.58E-01,0.00355,197.87,1.14E-03,0.295085853,1.55169
219,700,0.85,323.94,8.42E-01,0.00355,197.87,1.20E-03,0.871875767,0.965347
220,300,0.85,136.17,2.32E-01,0.00291,195.21,7.75E-04,0.107163649,2.16832
221,400,0.85,195.21,5.24E-01,0.00291,195.21,1.31E-03,0.316428584,1.65594
222,700,0.85,327.66,1.40E+00,0.00291,195.21,2.00E-03,1.387416646,1.0099
223,300,0.85,169,4.70E-01,0.00208,192,1.57E-03,0.20,4.22
224,400,0.85,192,7.09E-01,0.00208,192,1.77E-03,0.20,4.22
225,700,0.85,242,1.36E+00,0.00208,192,1.94E-03,0.20,4.22
226,1000,0.85,273,1.80E+00,0.00208,192,1.80E-03,0.20,4.22
227,300,0.85,137,3.77E-01,0.00171,161,1.26E-03,0.20,4.22
228,400,0.85,161,6.08E-01,0.00171,161,1.52E-03,0.20,4.22
229,700,0.85,218.3,1.36E+00,0.00171,161,1.94E-03,0.20,4.22
230,1000,0.85,254,1.93E+00,0.00171,161,1.93E-03,0.20,4.22
231,300,0.85,127.631,3.67E-01,0.0015184,151.36,1.22E-03,0.08445088,4.33976
232,400,0.85,151.36,6.04E-01,0.0015184,151.36,1.51E-03,0.145604448,4.14497
233,700,0.85,209.823,1.41E+00,0.0015184,151.36,2.02E-03,0.369646753,3.81657
234,1000,0.85,248.114,2.09E+00,0.0015184,151.36,2.09E-03,0.580112442,3.59911
235,300,0.85,-122.807,3.87E-01,0.00133537,150.045,1.29E-03,0.093418564,4.13947
236,400,0.85,-150.045,6.74E-01,0.00133537,150.045,1.69E-03,0.159453467,4.22929
237,700,0.85,-230.877,1.92E+00,0.00133537,150.045,2.74E-03,0.51588803,3.72337
238,1000,0.85,-281.446,3.16E+00,0.00133537,150.045,3.16E-03,0.862981105,3.66568
239,300,0.85,-200,1.60E-01,0.0051,-245,5.33E-04,0.020725389,7.72
240,400,0.85,-245,4.71E-01,0.0051,-245,1.18E-03,0.07005719,6.72
241,700,0.85,-233,1.75E+00,0.0051,-245,2.50E-03,0.31783268,5.51
242,1000,0.85,-155,1.60E+00,0.0051,-245,1.60E-03,0.207738867,7.71
243,300,0.85,108.88,1.67E-01,0.00238,119.75,5.58E-04,0.076639366,2.18498
244,400,0.85,120,2.42E-01,0.00238,119.75,6.05E-04,0.113817986,2.1246
245,700,0.85,171.43,7.44E-01,0.00238,119.75,1.06E-03,0.3597171,2.0678
246,1000,0.85,293.62,2.35E+00,0.00238,119.75,2.35E-03,1.191133093,1.9731
247,300,0.85,-196.16,3.56E-02,0.03246,-196.16,1.19E-04,0.027669081,1.28517
248,300,0.85,-219.62,3.48E-01,0.004159,-219.62,1.16E-03,0.20,4.22
249,300,0.85,135.09,3.73E-01,0.001467,142.36,1.24E-03,0.162121393,2.3
250,400,0.85,142.36,5.53E-01,0.001467,142.36,1.38E-03,0.23521233,2.35
251,700,0.85,173.46,1.46E+00,0.001467,142.36,2.08E-03,0.559676118,2.6
252,1000,0.85,207.27,3.12E+00,0.001467,142.36,3.12E-03,1.074714975,2.9
253,700,0.0146252,-501.65,9.73E-03,181.543206,-500.55,1.39E-05,0.000903217,10.7741
254,1000,1.05302,-549.67,9.44E-01,181.543206,-500.55,9.44E-04,0.128765807,7.33252
255,400,0.85,-289.98,3.18E-03,105.6963524,-289.98,7.96E-06,0.000176091,18.0719
256,700,0.0146252,-331.35,2.97E-02,105.6963524,-289.98,4.25E-05,0.002760142,10.7741
257,1000,1.84278,-412.05,1.21E+00,105.6963524,-289.98,1.21E-03,0.186834709,6.46651
258,400,0.85,-206.81,1.18E-03,145.0474172,-206.81,2.95E-06,8.88E-05,13.2843
259,700,0.61426,-204.62,3.52E-01,145.0474172,-206.81,5.02E-04,0.039095209,8.99308
260,1000,3.04205,-229.87,1.64E+00,145.0474172,-206.81,1.64E-03,0.302205857,5.42075
261,400,0.85,-362.53,1.31E-02,40.25408877,-362.53,3.27E-05,0.001042084,12.5327
262,700,2.22303,-434.32,1.25E+00,40.25408877,-362.53,1.78E-03,0.13499319,9.25454
263,1000,5.41133,-443.73,3.62E+00,40.25408877,-362.53,3.62E-03,0.544835324,6.64626
264,300,0.85,-28.21,1.93E-02,0.00119,-31.41,6.42E-05,0.00625094,3.0834
265,400,0.85,-31.41,3.31E-02,0.00119,-31.41,8.28E-05,0.010430437,3.1764
266,700,0.85,-45.45,1.37E-01,0.00119,-31.41,1.96E-04,0.039515646,3.4727
267,1000,0.85,-66.47,3.77E-01,0.00119,-31.41,3.77E-04,0.104674177,3.601
268,300,0.85,-25.74,3.08E-01,0.0001,-25.21,1.03E-03,0.037628248,8.177
269,400,0.85,-25.21,2.60E-01,0.0001,-25.21,6.49E-04,0.033229299,7.817
270,700,0.85,-27.03,2.54E-01,0.0001,-25.21,3.62E-04,0.036878464,6.8797
271,1000,0.85,-33.86,3.76E-01,0.0001,-25.21,3.76E-04,0.059798731,6.2948
272,300,0.85,217.6,1.96E-02,23.73,-50.67,6.52E-05,0.20,4.22
273,300,0.85,130,1.58E-01,23.73,-50.67,5.28E-04,0.20,4.22
274,300,0.85,200,9.52E-05,23.73,-50.67,3.17E-07,0.20,4.22
275,300,0.85,20,3.08E-03,23.73,-50.67,1.03E-05,0.20,4.22
276,300,0.85,5,2.14E-04,23.73,-50.67,7.14E-07,0.20,4.22
277,300,0.85,6.3,3.72E-04,23.73,-50.67,1.24E-06,0.20,4.22
278,300,0.85,149.91,8.24E-02,23.73,-50.67,2.75E-04,0.20,4.22
279,400,0.85,140,7.26E-02,23.73,-50.67,1.82E-04,0.20,4.22
280,700,0.85,120,6.36E-02,23.73,-50.67,9.09E-05,0.20,4.22
281,1000,0.85,100,5.22E-02,23.73,-50.67,5.22E-05,0.20,4.22
282,300,0.85,54.72,3.21E-02,23.73,-50.67,1.07E-04,0.20,4.22
283,400,0.85,50,2.62E-02,23.73,-50.67,6.55E-05,0.20,4.22
284,700,0.85,40,1.84E-02,23.73,-50.67,2.63E-05,0.20,4.22
285,1000,0.85,30,1.10E-02,23.73,-50.67,1.10E-05,0.20,4.22
286,300,0.85,25,1.66E-02,23.73,-50.67,5.55E-05,0.20,4.22
287,400,0.85,20,1.08E-02,23.73,-50.67,2.69E-05,0.20,4.22
288,700,0.85,2,1.33E-04,23.73,-50.67,1.91E-07,0.20,4.22
289,1000,0.85,1,2.66E-05,23.73,-50.67,2.66E-08,0.20,4.22
290,300,0.85,0.5,1.59E-05,23.73,-50.67,5.30E-08,0.20,4.22
291,400,0.85,0.1,5.92E-07,23.73,-50.67,1.48E-09,0.20,4.22
292,700,0.85,0.1,5.14E-07,23.73,-50.67,7.35E-10,0.20,4.22
293,1000,0.85,0.1,4.49E-07,23.73,-50.67,4.49E-10,0.20,4.22
294,300,0.85,215,9.91E-02,0.016,240,3.30E-04,0.20,4.22
295,400,0.85,240,1.44E-01,0.016,240,3.60E-04,0.20,4.22
296,700,0.85,295,3.05E-01,0.016,240,4.35E-04,0.20,4.22
297,300,0.85,-175.031,4.87E-07,85.3104,-147,1.62E-09,0.20,4.22
298,400,0.85,-147,1.01E-05,85.3104,-147,2.53E-08,0.20,4.22
299,700,0.85,-100.68,4.20E-04,85.3104,-147,5.99E-07,0.20,4.22
300,1000,0.85,-84.81,2.00E-03,85.3104,-147,2.00E-06,0.20,4.22
301,300,0.85,277.076,2.15E-02,0.0699656,299.003,7.17E-05,0.20,4.22
302,400,0.85,299.003,5.11E-02,0.0699656,299.003,1.28E-04,0.20,4.22
303,700,0.85,321.429,1.30E-01,0.0699656,299.003,1.85E-04,0.20,4.22
304,1000,0.85,324.917,1.98E-01,0.0699656,299.003,1.98E-04,0.20,4.22
305,300,0.85,97.6744,1.59E-01,0.001937,115.116,5.31E-04,0.20,4.22
306,400,0.85,115.116,2.74E-01,0.001937,115.116,6.84E-04,0.20,4.22
307,700,0.85,145.515,4.63E-01,0.001937,115.116,6.62E-04,0.20,4.22
308,1000,0.85,167.94,6.91E-01,0.001937,115.116,6.91E-04,0.20,4.22
309,300,0.85,300,1.37E-02,0.119099,321.429,4.58E-05,0.20,4.22
310,400,0.85,321.429,3.47E-02,0.119099,321.429,8.67E-05,0.20,4.22
311,700,0.85,351.827,1.00E-01,0.119099,321.429,1.43E-04,0.20,4.22
312,1000,0.85,354.817,1.75E-01,0.119099,321.429,1.75E-04,0.20,4.22
313,300,0.85,97.9094,2.05E-07,809.8083993,107.578,6.83E-10,0.20,4.22
314,400,0.85,107.578,5.72E-07,809.8083993,107.578,1.43E-09,0.20,4.22
315,700,0.85,124.826,1.01E-05,809.8083993,107.578,1.44E-08,0.20,4.22
316,1000,0.85,160.801,3.99E-05,809.8083993,107.578,3.99E-08,0.20,4.22
317,300,0.85,92.5958,2.06E-07,707.6990581,97.0383,6.88E-10,0.20,4.22
318,400,0.85,97.0383,5.32E-07,707.6990581,97.0383,1.33E-09,0.20,4.22
319,700,0.85,113.502,1.05E-05,707.6990581,97.0383,1.50E-08,0.20,4.22
320,1000,0.85,113.937,3.56E-05,707.6990581,97.0383,3.56E-08,0.20,4.22
321,300,0.85,103.223,2.79E-06,99.41840235,106.01,9.31E-09,0.20,4.22
322,400,0.85,106.01,4.52E-06,99.41840235,106.01,1.13E-08,0.20,4.22
323,700,0.85,120.122,4.99E-05,99.41840235,106.01,7.13E-08,0.20,4.22
324,1000,0.85,125.61,9.93E-05,99.41840235,106.01,9.93E-08,0.20,4.22
325,300,0.85,103.833,5.77E-07,175.7080154,105.575,1.92E-09,0.20,4.22
326,400,0.85,105.575,2.54E-06,175.7080154,105.575,6.34E-09,0.20,4.22
327,700,0.85,121.603,1.99E-05,175.7080154,105.575,2.84E-08,0.20,4.22
328,1000,0.85,124.216,4.32E-05,175.7080154,105.575,4.32E-08,0.20,4.22
329,300,0.1,-650.91,4.20E-02,0.24169,-587.185,1.40E-04,0.011795412,3.56184
330,400,0.189638,-587.185,5.71E-02,0.24169,-587.185,1.43E-04,0.018604483,3.06714
331,700,0.386026,-362.325,8.91E-02,0.24169,-587.185,1.27E-04,0.041301192,2.15813
332,1000,0.457147,-282.213,9.44E-02,0.24169,-587.185,9.44E-05,0.0457147,2.06537
333,300,0.882422,-109.244,3.90E-02,0.0106095,-124.72,1.30E-04,0.026137018,1.49028
334,400,0.944579,-124.72,5.86E-02,0.0106095,-124.72,1.47E-04,0.039848239,1.47173
335,700,1.1113,-168.417,1.28E-01,0.0106095,-124.72,1.82E-04,0.079617332,1.60159
336,1000,2.06923,-244.888,3.21E-01,0.0106095,-124.72,3.21E-04,0.199082397,1.61396
337,300,0.519785,-52.8011,2.15E-02,0.0043831,-60.084,7.15E-05,0.012433026,1.72527
338,400,0.598425,-60.084,3.29E-02,0.0043831,-60.084,8.24E-05,0.020104787,1.63869
339,700,0.837674,-84.6639,8.16E-02,0.0043831,-60.084,1.17E-04,0.050580993,1.61396
340,1000,1.37033,-128.361,2.11E-01,0.0043831,-60.084,2.11E-04,0.133018362,1.58304
341,300,0.335165,-38.2353,1.30E-02,0.00359065,-49.1597,4.35E-05,0.007932122,1.64488
342,400,0.35777,-49.1597,2.69E-02,0.00359065,-49.1597,6.73E-05,0.017140379,1.57067
343,700,0.356355,-60.9944,5.41E-02,0.00359065,-49.1597,7.72E-05,0.032386419,1.66961
344,1000,1.2022,-101.05,1.71E-01,0.00359065,-49.1597,1.71E-04,0.101172463,1.69435
345,300,0.85,-9.10364,1.63E-04,0.0120812,-20.028,5.45E-07,0.20,4.22
346,400,0.85,-20.028,1.33E-03,0.0120812,-20.028,3.32E-06,0.20,4.22
347,700,0.85,-50.9804,1.71E-02,0.0120812,-20.028,2.45E-05,0.20,4.22
348,1000,0.85,-25.4902,5.86E-03,0.0120812,-20.028,5.86E-06,0.20,4.22
349,300,0.85,-156.078,5.41E-02,0.0149487,-172.722,1.80E-04,0.005590487,9.6695
350,400,0.85,-172.722,7.98E-02,0.0149487,-172.722,2.00E-04,0.011785614,6.77329
351,700,0.85,-202.219,1.47E-01,0.0149487,-172.722,2.10E-04,0.038004955,3.86562
352,1000,0.85,-222.736,2.16E-01,0.0149487,-172.722,2.16E-04,0.072577584,2.97623
353,300,0.85,-88.5671,1.12E-01,0.0023498,-105.832,3.73E-04,0.012204602,9.1565
354,400,0.85,-105.832,1.91E-01,0.0023498,-105.832,4.77E-04,0.027820846,6.85319
355,700,0.85,-146.168,4.44E-01,0.0023498,-105.832,6.34E-04,0.113093689,3.92271
356,1000,0.85,-177.832,7.03E-01,0.0023498,-105.832,7.03E-04,0.240031089,2.93072
357,300,0.85,-50.4768,9.13E-02,0.000942337,-62.4767,3.04E-04,0.009402057,9.71545
358,400,0.85,-62.4767,1.66E-01,0.000942337,-62.4767,4.14E-04,0.022990066,7.20692
359,700,0.85,-94.1419,4.80E-01,0.000942337,-62.4767,6.86E-04,0.104779859,4.58432
360,1000,0.85,-119.305,8.46E-01,0.000942337,-62.4767,8.46E-04,0.242294205,3.48967
361,300,0.85,-46.7607,9.07E-02,0.000817897,-56.5928,3.02E-04,0.009632278,9.41949
362,400,0.85,-56.5928,1.57E-01,0.000817897,-56.5928,3.92E-04,0.022224564,7.04775
363,700,0.85,-83.3032,4.29E-01,0.000817897,-56.5928,6.13E-04,0.092961144,4.61902
364,1000,0.85,-108.464,8.20E-01,0.000817897,-56.5928,8.20E-04,0.231919011,3.53581
365,300,0.85,-50.7871,8.63E-02,0.000995442,-60.6186,2.88E-04,0.00973701,8.86791
366,400,0.85,-60.6186,1.48E-01,0.000995442,-60.6186,3.69E-04,0.02235983,6.6037
367,700,0.85,-88.5677,3.93E-01,0.000995442,-60.6186,5.62E-04,0.100865679,3.89999
368,1000,0.85,-114.967,7.43E-01,0.000995442,-60.6186,7.43E-04,0.242663763,3.06296
369,300,0.85,-53.2639,6.44E-02,0.00143465,-65.5729,2.15E-04,0.00940658,6.84738
370,400,0.85,-65.5729,1.20E-01,0.00143465,-65.5729,3.00E-04,0.023546412,5.09141
371,700,0.85,-93.2129,3.52E-01,0.00143465,-65.5729,5.02E-04,0.108354634,3.24419
372,1000,0.85,-117.444,6.61E-01,0.00143465,-65.5729,6.61E-04,0.262891577,2.51443
373,300,0.85,-52.3343,2.86E-02,0.0027953,-64.0245,9.53E-05,0.008831211,3.23848
374,400,0.85,-64.0245,5.87E-02,0.0027953,-64.0245,1.47E-04,0.022462541,2.61135
375,700,0.85,-86.4,2.14E-01,0.0027953,-64.0245,3.06E-04,0.116776249,1.83597
376,1000,0.85,-110.012,4.53E-01,0.0027953,-64.0245,4.53E-04,0.277913956,1.63073
377,300,0.85,-390,5.91E-04,23.73,-50.67,1.97E-06,0.000314602,1.87927
378,400,0.85,140.3,2.05E-03,23.73,-50.67,5.13E-06,0.20,4.22
379,700,0.85,28.76,4.26E-02,23.73,-50.67,6.09E-05,0.20,4.22
380,1000,0.85,15.7,2.51E-02,23.73,-50.67,2.51E-05,0.20,4.22
381,300,0.85,395,2.98E-02,23.73,-50.67,9.94E-05,0.016495189,1.807
382,400,0.85,304,4.99E-02,23.73,-50.67,1.25E-04,0.20,4.22
383,700,0.85,32.48,6.00E-02,23.73,-50.67,8.58E-05,0.20,4.22
384,1000,0.85,18.56,3.62E-02,23.73,-50.67,3.62E-05,0.20,4.22
385,300,0.85,330,4.72E-02,23.73,-50.67,1.57E-04,0.026234732,1.8
386,400,0.85,243.5,7.02E-02,23.73,-50.67,1.75E-04,0.20,4.22
387,700,0.85,28.76,5.28E-02,23.73,-50.67,7.54E-05,0.20,4.22
388,1000,0.85,17.6,3.38E-02,23.73,-50.67,3.38E-05,0.20,4.22
389,300,0.85,214.7,8.67E-02,23.73,-50.67,2.89E-04,0.048140749,1.8
390,400,0.85,129,9.15E-02,23.73,-50.67,2.29E-04,0.20,4.22
391,700,0.85,25.04,4.62E-02,23.73,-50.67,6.60E-05,0.20,4.22
392,1000,0.85,14.8,2.63E-02,23.73,-50.67,2.63E-05,0.20,4.22
393,300,0.85,21.32,2.92E-02,23.73,-50.67,9.72E-05,0.00788839,3.69579
394,400,0.85,17.6,2.77E-02,23.73,-50.67,6.93E-05,0.20,4.22
395,700,0.85,10.17,1.45E-02,23.73,-50.67,2.07E-05,0.20,4.22
396,1000,0.85,5.52,5.10E-03,23.73,-50.67,5.10E-06,0.20,4.22
397,300,0.85,56.4516,4.69E-02,23.73,-50.67,1.56E-04,0.055801689,0.84
398,400,0.85,68.7334,8.13E-02,23.73,-50.67,2.03E-04,0.096379224,0.844
399,700,0.85,117.242,2.78E-01,23.73,-50.67,3.97E-04,0.340484029,0.816
400,1000,0.85,164.143,5.88E-01,23.73,-50.67,5.88E-04,0.822909213,0.715
401,300,0.85,110.866,1.75E-01,23.73,-50.67,5.83E-04,0.173267726,1.01
402,400,0.85,146.015,3.29E-01,23.73,-50.67,8.23E-04,0.496100779,0.6638
403,700,0.85,205.872,8.92E-01,23.73,-50.67,1.27E-03,1.286961011,0.6933
404,300,0.85,126,1.22E-01,23.73,-50.67,4.06E-04,0.20,4.22
405,400,0.85,154,2.46E-01,23.73,-50.67,6.16E-04,0.20,4.22
406,700,0.85,166,5.94E-01,23.73,-50.67,8.48E-04,0.20,4.22
407,300,0.85,101,2.97E-01,23.73,-50.67,9.90E-04,0.15555838,1.91
408,400,0.85,127,5.76E-01,23.73,-50.67,1.44E-03,0.290927128,1.98
409,700,0.85,176,1.68E+00,23.73,-50.67,2.40E-03,0.812013631,2.07
410,300,0.85,87.2,2.55E-01,23.73,-50.67,8.51E-04,0.10643673,2.4
411,400,0.85,107,4.72E-01,23.73,-50.67,1.18E-03,0.198167011,2.38
412,700,0.85,158,1.63E+00,23.73,-50.67,2.33E-03,0.6558871,2.49
413,300,0.85,58.2,1.32E-01,23.73,-50.67,4.39E-04,0.085031756,1.55
414,400,0.85,75.7,2.74E-01,23.73,-50.67,6.85E-04,0.174640844,1.57
415,700,0.85,127,1.27E+00,23.73,-50.67,1.82E-03,0.748267895,1.703
416,300,0.85,279.207,5.25E-02,23.73,-50.67,1.75E-04,0.054916687,0.956
417,400,0.85,300.119,8.96E-02,23.73,-50.67,2.24E-04,0.224057186,0.3998
418,700,0.85,306.696,2.00E-01,23.73,-50.67,2.86E-04,0.974581824,0.2056
419,300,0.85,-132.097,1.02E-02,23.73,-50.67,3.41E-05,0.20,4.22
420,400,0.85,-135.054,1.45E-02,23.73,-50.67,3.61E-05,0.20,4.22
421,700,0.85,-180.753,5.54E-02,23.73,-50.67,7.92E-05,0.20,4.22
422,1000,0.85,-218.521,2.00E-01,23.73,-50.67,2.00E-04,0.20,4.22
423,300,0.85,-115.43,2.65E-02,23.73,-50.67,8.82E-05,0.20,4.22
424,400,0.85,-128.468,4.39E-02,23.73,-50.67,1.10E-04,0.20,4.22
425,700,0.85,-162.876,1.20E-01,23.73,-50.67,1.72E-04,0.20,4.22
426,1000,0.85,-204.677,3.83E-01,23.73,-50.67,3.83E-04,0.20,4.22
427,300,0.85,-113.952,3.78E-02,23.73,-50.67,1.26E-04,0.20,4.22
428,400,0.85,-123.495,5.91E-02,23.73,-50.67,1.48E-04,0.20,4.22
429,700,0.85,-154.543,1.51E-01,23.73,-50.67,2.15E-04,0.20,4.22
430,1000,0.85,-187.876,3.70E-01,23.73,-50.67,3.70E-04,0.20,4.22
431,300,0.85,-110.995,5.45E-02,23.73,-50.67,1.82E-04,0.20,4.22
432,400,0.85,-117.177,7.74E-02,23.73,-50.67,1.94E-04,0.20,4.22
433,700,0.85,-147.016,1.90E-01,23.73,-50.67,2.72E-04,0.20,4.22
434,1000,0.85,-175.78,4.00E-01,23.73,-50.67,4.00E-04,0.20,4.22
435,300,0.85,-144.866,2.94E-02,23.73,-50.67,9.81E-05,0.20,4.22
436,400,0.85,-149.839,4.18E-02,23.73,-50.67,1.05E-04,0.20,4.22
437,700,0.85,-177.527,9.98E-02,23.73,-50.67,1.43E-04,0.20,4.22
438,1000,0.85,-207.5,2.52E-01,23.73,-50.67,2.52E-04,0.20,4.22
439,300,0.85,-80.5607,7.56E-03,23.73,-50.67,2.52E-05,0.20,4.22
440,400,0.85,-73.8318,8.37E-03,23.73,-50.67,2.09E-05,0.20,4.22
441,700,0.85,-58.3178,7.10E-03,23.73,-50.67,1.02E-05,0.20,4.22
442,1000,0.85,-40.1869,4.54E-03,23.73,-50.67,4.54E-06,0.20,4.22
443,300,0.85,-110.28,2.37E-02,23.73,-50.67,7.90E-05,0.20,4.22
444,400,0.85,-105.047,2.91E-02,23.73,-50.67,7.27E-05,0.20,4.22
445,700,0.85,-88.5981,3.16E-02,23.73,-50.67,4.51E-05,0.20,4.22
446,1000,0.85,-74.3925,2.41E-02,23.73,-50.67,2.41E-05,0.20,4.22
447,300,0.85,69.4361,5.81E-04,23.73,-50.67,1.94E-06,0.000528343,1.1
448,300,0.85,-32.5663,3.33E-03,23.73,-50.67,1.11E-05,0.001753013,1.9
449,300,0.85,-357.564,1.34E-01,23.73,-50.67,4.48E-04,0.008282179,16.23
450,300,0.85,-133,5.05E-01,23.73,-50.67,1.68E-03,0.063333333,7.98
451,400,0.85,-136,6.33E-01,23.73,-50.67,1.58E-03,0.093139486,6.795
452,300,0.85,-95,3.09E-02,23.73,-50.67,1.03E-04,0.005134142,6.02
453,400,0.85,-130,9.73E-02,23.73,-50.67,2.43E-04,0.018352111,5.3
