T (K),Z*10^-4 reported,Resist. (Ohm.cm),Seebeck (uV/K),kappaZT,,Resist. (400K),Seebeck (400K),Pf (W/K^2/m),ZT,kappa (W/mK),T Max,,,Conduct. (S/cm),,Power Factor*T (W/mK),Cell Volume (A^3),Formula Units per Cell,Atoms per formula unit,total atoms per unit cell,average atomic volume,temp of ICSD (K),S,ke/ktotal,
700,0.85,0.0017124,212.86,1.85E+00,0.716102485,0.00057,105,2.65E-03,1.329723145,1.39286,0.61,0.716102485,0.716102485,5.84E+02,0.716102485,1.85E+00,269.84,4,2,8,33.73,298,4.53E+04,0.716102485,0.716102485
300,0.85,0.000413223,50.95,1.88E-01,0.587680881,0.00062,98.33,6.28E-04,0.062528934,3.01429,0.61,0.587680881,0.587680881,2.42E+03,0.587680881,1.88E-01,269.84,4,2,8,33.73,298,2.60E+03,0.587680881,0.587680881
400,0.85,0.000619008,98.33,6.25E-01,0.710917864,0.00062,98.33,1.56E-03,0.28172853,2.21786,0.61,0.710917864,0.710917864,1.62E+03,0.710917864,6.25E-01,269.84,4,2,8,33.73,298,9.67E+03,0.710917864,0.710917864
700,0.85,0.00160579,209.05,1.91E+00,0.838934041,0.00062,98.33,2.72E-03,1.502553777,1.26786,0.61,0.838934041,0.838934041,6.23E+02,0.838934041,1.91E+00,269.84,4,2,8,33.73,298,4.37E+04,0.838934041,0.838934041
1000,0.85,0.00205455,204,2.03E+00,0.998585704,0.00062,98.33,2.03E-03,1.703161584,1.18929,0.61,0.998585704,0.998585704,4.87E+02,0.998585704,2.03E+00,269.84,4,2,8,33.73,298,4.16E+04,0.998585704,0.998585704
300,0.85,0.000512397,58.81,2.02E-01,0.529804146,0.00069,89.76,6.75E-04,0.075096639,2.69643,0.61,0.529804146,0.529804146,1.95E+03,0.529804146,2.02E-01,269.84,4,2,8,33.73,298,3.46E+03,0.529804146,0.529804146
400,0.85,0.000690909,89.76,4.66E-01,0.65594885,0.00069,89.76,1.17E-03,0.216602878,2.15357,0.61,0.65594885,0.65594885,1.45E+03,0.65594885,4.66E-01,269.84,4,2,8,33.73,298,8.06E+03,0.65594885,0.65594885
700,0.85,0.00163306,205.24,1.81E+00,0.806745688,0.00069,89.76,2.58E-03,1.392715388,1.29643,0.61,0.806745688,0.806745688,6.12E+02,0.806745688,1.81E+00,269.84,4,2,8,33.73,298,4.21E+04,0.806745688,0.806745688
1000,0.85,0.00198264,197,1.96E+00,1.028628773,0.00069,89.76,1.96E-03,1.636067789,1.19643,0.61,1.028628773,1.028628773,5.04E+02,1.028628773,1.96E+00,269.84,4,2,8,33.73,298,3.88E+04,1.028628773,1.028628773
300,0.85,0.00274242,140.4,2.16E-01,0.137437588,0.00355,197.87,7.19E-04,0.111032448,1.9421,0.61,0.137437588,0.137437588,3.65E+02,0.137437588,2.16E-01,269.84,4,2,8,33.73,298,1.97E+04,0.137437588,0.137437588
