T (K),Z*10^-4 reported,Resist. (Ohm.cm),Seebeck (uV/K),kappaZT,,Resist. (400K),Seebeck (400K),Pf (W/K^2/m),ZT,kappa (W/mK),T Max,,,Conduct. (S/cm),,Power Factor*T (W/mK),Cell Volume (A^3),Formula Units per Cell,Atoms per formula unit,total atoms per unit cell,average atomic volume,temp of ICSD (K),S,ke/ktotal,
300,0.85,0.0021239,108.88,1.67E-01,0.157735538,0.00238,119.75,5.58E-04,0.076639366,2.18498,0.61,0.157735538,0.157735538,4.71E+02,0.157735538,1.67E-01,380.53,2,14,28,13.59035714,300,1.19E+04,0.157735538,0.157735538
400,0.85,0.00238192,120,2.42E-01,0.192861469,0.00238,119.75,6.05E-04,0.113817986,2.1246,0.61,0.192861469,0.192861469,4.20E+02,0.192861469,2.42E-01,380.53,2,14,28,13.59035714,300,1.44E+04,0.192861469,0.192861469
700,0.85,0.00276581,171.43,7.44E-01,0.2986462,0.00238,119.75,1.06E-03,0.3597171,2.0678,0.61,0.2986462,0.2986462,3.62E+02,0.2986462,7.44E-01,380.53,2,14,28,13.59035714,300,2.94E+04,0.2986462,0.2986462
1000,0.85,0.0036682,293.62,2.35E+00,0.337122488,0.00238,119.75,2.35E-03,1.191133093,1.9731,0.61,0.337122488,0.337122488,2.73E+02,0.337122488,2.35E+00,380.53,2,14,28,13.59035714,300,8.62E+04,0.337122488,0.337122488
300,0.85,0.032463527,-196.16,3.56E-02,0.017545058,0.03246,-196.16,1.19E-04,0.027669081,1.28517,0.61,0.017545058,0.017545058,3.08E+01,0.017545058,3.56E-02,1357.83,2,23,46,29.51804348,298,3.85E+04,0.017545058,0.017545058
300,0.85,0.004159267,-219.62,3.48E-01,0.91,0.004159,-219.62,1.16E-03,0.20,4.22,0.61,0.91,0.91,2.40E+02,0.91,3.48E-01,1357.83,2,23,46,29.51804348,298,4.82E+04,0.91,0.91
300,0.85,0.00146827,135.09,3.73E-01,0.21675909,0.001467,142.36,1.24E-03,0.162121393,2.3,0.61,0.21675909,0.21675909,6.81E+02,0.21675909,3.73E-01,236.38,2,10.86,21.72,10.88305709,300,1.83E+04,0.21675909,0.21675909
400,0.85,0.00146667,142.36,5.53E-01,0.283171503,0.001467,142.36,1.38E-03,0.23521233,2.35,0.61,0.283171503,0.283171503,6.82E+02,0.283171503,5.53E-01,236.38,2,10.86,21.72,10.88305709,300,2.03E+04,0.283171503,0.283171503
700,0.85,0.00144731,173.46,1.46E+00,0.453892447,0.001467,142.36,2.08E-03,0.559676118,2.6,0.61,0.453892447,0.453892447,6.91E+02,0.453892447,1.46E+00,236.38,2,10.86,21.72,10.88305709,300,3.01E+04,0.453892447,0.453892447
1000,0.85,0.00137846,207.27,3.12E+00,0.610376297,0.001467,142.36,3.12E-03,1.074714975,2.9,0.61,0.610376297,0.610376297,7.25E+02,0.610376297,3.12E+00,236.38,2,10.86,21.72,10.88305709,300,4.30E+04,0.610376297,0.610376297
700,0.0146252,1.810214336,-501.65,9.73E-03,8.73E-07,181.543206,-500.55,1.39E-05,0.000903217,10.7741,0.61,8.73E-07,8.73E-07,5.51E-03,8.73E-07,9.73E-03,47.62,2,2,4,11.905,300,2.52E+05,8.73E-07,8.73E-07
1000,1.05302,0.03200037,-549.67,9.44E-01,0.000103188,181.543206,-500.55,9.44E-04,0.128765807,7.33252,0.61,0.000103188,0.000103188,3.10E-01,0.000103188,9.44E-01,47.62,2,2,4,11.905,300,3.02E+05,0.000103188,0.000103188
400,0.85,1.056963524,-289.98,3.18E-03,0,105.6963524,-289.98,7.96E-06,0.000176091,18.0719,0.61,0,0,1683.85,0,3.18E-03,47.62,2,2,4,11.905,300,8.41E+04,0,0
700,0.0146252,0.25844611,-331.35,2.97E-02,6.25E-06,105.6963524,-289.98,4.25E-05,0.002760142,10.7741,0.61,6.25E-06,6.25E-06,3.94E-02,6.25E-06,2.97E-02,47.62,2,2,4,11.905,300,1.10E+05,6.25E-06,6.25E-06
1000,1.84278,0.014052901,-412.05,1.21E+00,0.000230733,105.6963524,-289.98,1.21E-03,0.186834709,6.46651,0.61,0.000230733,0.000230733,6.11E-01,0.000230733,1.21E+00,47.62,2,2,4,11.905,300,1.70E+05,0.000230733,0.000230733
400,0.85,1.450474172,-206.81,1.18E-03,0,145.0474172,-206.81,2.95E-06,8.88E-05,13.2843,0.61,0,0,1683.85,0,1.18E-03,47.62,2,2,4,11.905,300,4.28E+04,0,0
700,0.61426,0.008336086,-204.62,3.52E-01,0.000200981,145.0474172,-206.81,5.02E-04,0.039095209,8.99308,0.61,0.000200981,0.000200981,1.06E+00,0.000200981,3.52E-01,47.62,2,2,4,11.905,300,4.19E+04,0.000200981,0.000200981
1000,3.04205,0.003225455,-229.87,1.64E+00,0.001569869,145.0474172,-206.81,1.64E-03,0.302205857,5.42075,0.61,0.001569869,0.001569869,3.49E+00,0.001569869,1.64E+00,47.62,2,2,4,11.905,300,5.28E+04,0.001569869,0.001569869
400,0.85,0.402540888,-362.53,1.31E-02,0,40.25408877,-362.53,3.27E-05,0.001042084,12.5327,0.61,0,0,1683.85,0,1.31E-02,47.62,2,2,4,11.905,300,1.31E+05,0,0
700,2.22303,0.010569514,-434.32,1.25E+00,0.000157105,40.25408877,-362.53,1.78E-03,0.13499319,9.25454,0.61,0.000157105,0.000157105,8.51E-01,0.000157105,1.25E+00,47.62,2,2,4,11.905,300,1.89E+05,0.000157105,0.000157105
1000,5.41133,0.005437447,-443.73,3.62E+00,0.000746348,40.25408877,-362.53,3.62E-03,0.544835324,6.64626,0.61,0.000746348,0.000746348,2.03E+00,0.000746348,3.62E+00,47.62,2,2,4,11.905,300,1.97E+05,0.000746348,0.000746348
300,0.85,0.00123823,-28.21,1.93E-02,0.191725505,0.00119,-31.41,6.42E-05,0.00625094,3.0834,0.61,0.191725505,0.191725505,8.08E+02,0.191725505,1.93E-02,1066.2,20,4,80,13.3275,300,7.96E+02,0.191725505,0.191725505
400,0.85,0.00119115,-31.41,3.31E-02,0.257957509,0.00119,-31.41,8.28E-05,0.010430437,3.1764,0.61,0.257957509,0.257957509,8.40E+02,0.257957509,3.31E-02,1066.2,20,4,80,13.3275,300,9.87E+02,0.257957509,0.257957509
700,0.85,0.00105367,-45.45,1.37E-01,0.466784025,0.00119,-31.41,1.96E-04,0.039515646,3.4727,0.61,0.466784025,0.466784025,9.49E+02,0.466784025,1.37E-01,1066.2,20,4,80,13.3275,300,2.07E+03,0.466784025,0.466784025
1000,0.85,0.00117232,-66.47,3.77E-01,0.577990274,0.00119,-31.41,3.77E-04,0.104674177,3.601,0.61,0.577990274,0.577990274,8.53E+02,0.577990274,3.77E-01,1066.2,20,4,80,13.3275,300,4.42E+03,0.577990274,0.577990274
300,0.85,6.46E-05,-25.74,3.08E-01,1.386186716,0.0001,-25.21,1.03E-03,0.037628248,8.177,0.61,1.386186716,1.386186716,1.55E+04,1.386186716,3.08E-01,883.29,18,4,72,12.26791667,300,6.62E+02,1.386186716,1.386186716
400,0.85,9.79E-05,-25.21,2.60E-01,1.275951684,0.0001,-25.21,6.49E-04,0.033229299,7.817,0.61,1.275951684,1.275951684,1.02E+04,1.275951684,2.60E-01,883.29,18,4,72,12.26791667,300,6.35E+02,1.275951684,1.275951684
700,0.85,0.00020161,-27.03,2.54E-01,1.231420265,0.0001,-25.21,3.62E-04,0.036878464,6.8797,0.61,1.231420265,1.231420265,4.96E+03,1.231420265,2.54E-01,883.29,18,4,72,12.26791667,300,7.31E+02,1.231420265,1.231420265
1000,0.85,0.000304651,-33.86,3.76E-01,1.272346156,0.0001,-25.21,3.76E-04,0.059798731,6.2948,0.61,1.272346156,1.272346156,3.28E+03,1.272346156,3.76E-01,883.29,18,4,72,12.26791667,300,1.15E+03,1.272346156,1.272346156
300,0.85,0.0725764,217.6,1.96E-02,0.91,23.73,-50.67,6.52E-05,0.20,4.22,0.61,0.91,0.91,1.38E+01,0.91,1.96E-02,338.06,4,7,28,12.07357143,300,4.73E+04,0.91,0.91
300,0.85,0.0032,130,1.58E-01,0.91,23.73,-50.67,5.28E-04,0.20,4.22,0.61,0.91,0.91,3.13E+02,0.91,1.58E-01,188.19,2,7,14,13.44214286,293,1.69E+04,0.91,0.91
300,0.85,12.61,200,9.52E-05,0.91,23.73,-50.67,3.17E-07,0.20,4.22,0.61,0.91,0.91,7.93E-02,0.91,9.52E-05,189.68,2,7,14,13.54857143,293,4.00E+04,0.91,0.91
300,0.85,0.0039,20,3.08E-03,0.91,23.73,-50.67,1.03E-05,0.20,4.22,0.61,0.91,0.91,2.56E+02,0.91,3.08E-03,188.56,2,7,14,13.46857143,293,4.00E+02,0.91,0.91
300,0.85,0.0035,5,2.14E-04,0.91,23.73,-50.67,7.14E-07,0.20,4.22,0.61,0.91,0.91,2.86E+02,0.91,2.14E-04,188.45,2,7,14,13.46071429,293,2.50E+01,0.91,0.91
300,0.85,0.0032,6.3,3.72E-04,0.91,23.73,-50.67,1.24E-06,0.20,4.22,0.61,0.91,0.91,3.13E+02,0.91,3.72E-04,188.41,2,7,14,13.45785714,293,3.97E+01,0.91,0.91
300,0.85,0.00818141,149.91,8.24E-02,0.91,23.73,-50.67,2.75E-04,0.20,4.22,0.61,0.91,0.91,1.22E+02,0.91,8.24E-02,380.25,4,7,28,13.58035714,300,2.25E+04,0.91,0.91
400,0.85,0.0107975,140,7.26E-02,0.91,23.73,-50.67,1.82E-04,0.20,4.22,0.61,0.91,0.91,9.26E+01,0.91,7.26E-02,380.25,4,7,28,13.58035714,300,1.96E+04,0.91,0.91
700,0.85,0.0158385,120,6.36E-02,0.91,23.73,-50.67,9.09E-05,0.20,4.22,0.61,0.91,0.91,6.31E+01,0.91,6.36E-02,380.25,4,7,28,13.58035714,300,1.44E+04,0.91,0.91
1000,0.85,0.0191756,100,5.22E-02,0.91,23.73,-50.67,5.22E-05,0.20,4.22,0.61,0.91,0.91,5.22E+01,0.91,5.22E-02,380.25,4,7,28,13.58035714,300,1.00E+04,0.91,0.91
300,0.85,0.00280286,54.72,3.21E-02,0.91,23.73,-50.67,1.07E-04,0.20,4.22,0.61,0.91,0.91,3.57E+02,0.91,3.21E-02,378.4,4,7,28,13.51428571,295,2.99E+03,0.91,0.91
400,0.85,0.00381517,50,2.62E-02,0.91,23.73,-50.67,6.55E-05,0.20,4.22,0.61,0.91,0.91,2.62E+02,0.91,2.62E-02,378.4,4,7,28,13.51428571,295,2.50E+03,0.91,0.91
700,0.85,0.00608328,40,1.84E-02,0.91,23.73,-50.67,2.63E-05,0.20,4.22,0.61,0.91,0.91,1.64E+02,0.91,1.84E-02,378.4,4,7,28,13.51428571,295,1.60E+03,0.91,0.91
1000,0.85,0.00818462,30,1.10E-02,0.91,23.73,-50.67,1.10E-05,0.20,4.22,0.61,0.91,0.91,1.22E+02,0.91,1.10E-02,378.4,4,7,28,13.51428571,295,9.00E+02,0.91,0.91
300,0.85,0.00112686,25,1.66E-02,0.91,23.73,-50.67,5.55E-05,0.20,4.22,0.61,0.91,0.91,8.87E+02,0.91,1.66E-02,190.07,2,7,14,13.57642857,300,6.25E+02,0.91,0.91
400,0.85,0.00148762,20,1.08E-02,0.91,23.73,-50.67,2.69E-05,0.20,4.22,0.61,0.91,0.91,6.72E+02,0.91,1.08E-02,190.07,2,7,14,13.57642857,300,4.00E+02,0.91,0.91
700,0.85,0.00253868,2,1.33E-04,0.91,23.73,-50.67,1.91E-07,0.20,4.22,0.61,0.91,0.91,3.94E+02,0.91,1.33E-04,190.07,2,7,14,13.57642857,300,4.84E+00,0.91,0.91
1000,0.85,0.00376365,1,2.66E-05,0.91,23.73,-50.67,2.66E-08,0.20,4.22,0.61,0.91,0.91,2.66E+02,0.91,2.66E-05,190.07,2,7,14,13.57642857,300,1.00E+00,0.91,0.91
300,0.85,0.00047135,0.5,1.59E-05,0.91,23.73,-50.67,5.30E-08,0.20,4.22,0.61,0.91,0.91,2.12E+03,0.91,1.59E-05,190.07,2,7,14,13.57642857,300,2.50E-01,0.91,0.91
400,0.85,0.000676029,0.1,5.92E-07,0.91,23.73,-50.67,1.48E-09,0.20,4.22,0.61,0.91,0.91,1.48E+03,0.91,5.92E-07,190.07,2,7,14,13.57642857,300,1.00E-02,0.91,0.91
700,0.85,0.00136142,0.1,5.14E-07,0.91,23.73,-50.67,7.35E-10,0.20,4.22,0.61,0.91,0.91,7.35E+02,0.91,5.14E-07,190.07,2,7,14,13.57642857,300,1.00E-02,0.91,0.91
1000,0.85,0.00222519,0.1,4.49E-07,0.91,23.73,-50.67,4.49E-10,0.20,4.22,0.61,0.91,0.91,4.49E+02,0.91,4.49E-07,190.07,2,7,14,13.57642857,300,1.00E-02,0.91,0.91
300,0.85,0.014,215,9.91E-02,0.91,0.016,240,3.30E-04,0.20,4.22,0.61,0.91,0.91,7.14E+01,0.91,9.91E-02,581.29,2,14,28,20.76035714,300,4.62E+04,0.91,0.91
400,0.85,0.016,240,1.44E-01,0.91,0.016,240,3.60E-04,0.20,4.22,0.61,0.91,0.91,6.25E+01,0.91,1.44E-01,581.29,2,14,28,20.76035714,300,5.76E+04,0.91,0.91
700,0.85,0.02,295,3.05E-01,0.91,0.016,240,4.35E-04,0.20,4.22,0.61,0.91,0.91,5.00E+01,0.91,3.05E-01,581.29,2,14,28,20.76035714,300,8.70E+04,0.91,0.91
300,0.85,1886.12,-175.031,4.87E-07,0.91,85.3104,-147,1.62E-09,0.20,4.22,0.61,0.91,0.91,5.30E-04,0.91,4.87E-07,555.64,8,7,56,9.922142857,300,3.06E+04,0.91,0.91
400,0.85,85.3104,-147,1.01E-05,0.91,85.3104,-147,2.53E-08,0.20,4.22,0.61,0.91,0.91,1.17E-02,0.91,1.01E-05,555.64,8,7,56,9.922142857,300,2.16E+04,0.91,0.91
700,0.85,1.69095,-100.68,4.20E-04,0.91,85.3104,-147,5.99E-07,0.20,4.22,0.61,0.91,0.91,5.91E-01,0.91,4.20E-04,555.64,8,7,56,9.922142857,300,1.01E+04,0.91,0.91
1000,0.85,0.359618,-84.81,2.00E-03,0.91,85.3104,-147,2.00E-06,0.20,4.22,0.61,0.91,0.91,2.78E+00,0.91,2.00E-03,555.64,8,7,56,9.922142857,300,7.19E+03,0.91,0.91
300,0.85,0.107079,277.076,2.15E-02,0.91,0.0699656,299.003,7.17E-05,0.20,4.22,0.61,0.91,0.91,9.34E+00,0.91,2.15E-02,136.95,3,4,12,11.4125,300,7.68E+04,0.91,0.91
400,0.85,0.0699656,299.003,5.11E-02,0.91,0.0699656,299.003,1.28E-04,0.20,4.22,0.61,0.91,0.91,1.43E+01,0.91,5.11E-02,136.95,3,4,12,11.4125,300,8.94E+04,0.91,0.91
700,0.85,0.0557025,321.429,1.30E-01,0.91,0.0699656,299.003,1.85E-04,0.20,4.22,0.61,0.91,0.91,1.80E+01,0.91,1.30E-01,136.95,3,4,12,11.4125,300,1.03E+05,0.91,0.91
1000,0.85,0.0532197,324.917,1.98E-01,0.91,0.0699656,299.003,1.98E-04,0.20,4.22,0.61,0.91,0.91,1.88E+01,0.91,1.98E-01,136.95,3,4,12,11.4125,300,1.06E+05,0.91,0.91
300,0.85,0.00179525,97.6744,1.59E-01,0.91,0.001937,115.116,5.31E-04,0.20,4.22,0.61,0.91,0.91,5.57E+02,0.91,1.59E-01,140.56,3,4,12,11.71333333,300,9.54E+03,0.91,0.91
400,0.85,0.001937,115.116,2.74E-01,0.91,0.001937,115.116,6.84E-04,0.20,4.22,0.61,0.91,0.91,5.16E+02,0.91,2.74E-01,140.56,3,4,12,11.71333333,300,1.33E+04,0.91,0.91
700,0.85,0.00319853,145.515,4.63E-01,0.91,0.001937,115.116,6.62E-04,0.20,4.22,0.61,0.91,0.91,3.13E+02,0.91,4.63E-01,140.56,3,4,12,11.71333333,300,2.12E+04,0.91,0.91
1000,0.85,0.00407907,167.94,6.91E-01,0.91,0.001937,115.116,6.91E-04,0.20,4.22,0.61,0.91,0.91,2.45E+02,0.91,6.91E-01,140.56,3,4,12,11.71333333,300,2.82E+04,0.91,0.91
300,0.85,0.196666,300,1.37E-02,0.91,0.119099,321.429,4.58E-05,0.20,4.22,0.61,0.91,0.91,5.08E+00,0.91,1.37E-02,131.12,3,4,12,10.92666667,300,9.00E+04,0.91,0.91
400,0.85,0.119099,321.429,3.47E-02,0.91,0.119099,321.429,8.67E-05,0.20,4.22,0.61,0.91,0.91,8.40E+00,0.91,3.47E-02,131.12,3,4,12,10.92666667,300,1.03E+05,0.91,0.91
700,0.85,0.0865553,351.827,1.00E-01,0.91,0.119099,321.429,1.43E-04,0.20,4.22,0.61,0.91,0.91,1.16E+01,0.91,1.00E-01,131.12,3,4,12,10.92666667,300,1.24E+05,0.91,0.91
1000,0.85,0.072125,354.817,1.75E-01,0.91,0.119099,321.429,1.75E-04,0.20,4.22,0.61,0.91,0.91,1.39E+01,0.91,1.75E-01,131.12,3,4,12,10.92666667,300,1.26E+05,0.91,0.91
300,0.85,1402.658318,97.9094,2.05E-07,0.91,809.8083993,107.578,6.83E-10,0.20,4.22,0.61,0.91,0.91,7.13E-04,0.91,2.05E-07,422.94,8,4,32,13.216875,300,9.59E+03,0.91,0.91
400,0.85,809.8083993,107.578,5.72E-07,0.91,809.8083993,107.578,1.43E-09,0.20,4.22,0.61,0.91,0.91,1.23E-03,0.91,5.72E-07,422.94,8,4,32,13.216875,300,1.16E+04,0.91,0.91
700,0.85,108.4818721,124.826,1.01E-05,0.91,809.8083993,107.578,1.44E-08,0.20,4.22,0.61,0.91,0.91,9.22E-03,0.91,1.01E-05,422.94,8,4,32,13.216875,300,1.56E+04,0.91,0.91
1000,0.85,64.85589021,160.801,3.99E-05,0.91,809.8083993,107.578,3.99E-08,0.20,4.22,0.61,0.91,0.91,1.54E-02,0.91,3.99E-05,422.94,8,4,32,13.216875,300,2.59E+04,0.91,0.91
300,0.85,1246.791071,92.5958,2.06E-07,0.91,707.6990581,97.0383,6.88E-10,0.20,4.22,0.61,0.91,0.91,8.02E-04,0.91,2.06E-07,422.94,8,4,32,13.216875,300,8.57E+03,0.91,0.91
400,0.85,707.6990581,97.0383,5.32E-07,0.91,707.6990581,97.0383,1.33E-09,0.20,4.22,0.61,0.91,0.91,1.41E-03,0.91,5.32E-07,422.94,8,4,32,13.216875,300,9.42E+03,0.91,0.91
700,0.85,86.02520539,113.502,1.05E-05,0.91,707.6990581,97.0383,1.50E-08,0.20,4.22,0.61,0.91,0.91,1.16E-02,0.91,1.05E-05,422.94,8,4,32,13.216875,300,1.29E+04,0.91,0.91
1000,0.85,36.42867811,113.937,3.56E-05,0.91,707.6990581,97.0383,3.56E-08,0.20,4.22,0.61,0.91,0.91,2.75E-02,0.91,3.56E-05,422.94,8,4,32,13.216875,300,1.30E+04,0.91,0.91
300,0.85,114.491013,103.223,2.79E-06,0.91,99.41840235,106.01,9.31E-09,0.20,4.22,0.61,0.91,0.91,8.73E-03,0.91,2.79E-06,422.94,8,4,32,13.216875,300,1.07E+04,0.91,0.91
400,0.85,99.41840235,106.01,4.52E-06,0.91,99.41840235,106.01,1.13E-08,0.20,4.22,0.61,0.91,0.91,1.01E-02,0.91,4.52E-06,422.94,8,4,32,13.216875,300,1.12E+04,0.91,0.91
700,0.85,20.23705688,120.122,4.99E-05,0.91,99.41840235,106.01,7.13E-08,0.20,4.22,0.61,0.91,0.91,4.94E-02,0.91,4.99E-05,422.94,8,4,32,13.216875,300,1.44E+04,0.91,0.91
1000,0.85,15.89233894,125.61,9.93E-05,0.91,99.41840235,106.01,9.93E-08,0.20,4.22,0.61,0.91,0.91,6.29E-02,0.91,9.93E-05,422.94,8,4,32,13.216875,300,1.58E+04,0.91,0.91
300,0.85,561.0255547,103.833,5.77E-07,0.91,175.7080154,105.575,1.92E-09,0.20,4.22,0.61,0.91,0.91,1.78E-03,0.91,5.77E-07,422.94,8,4,32,13.216875,300,1.08E+04,0.91,0.91
400,0.85,175.7080154,105.575,2.54E-06,0.91,175.7080154,105.575,6.34E-09,0.20,4.22,0.61,0.91,0.91,5.69E-03,0.91,2.54E-06,422.94,8,4,32,13.216875,300,1.11E+04,0.91,0.91
700,0.85,52.08251954,121.603,1.99E-05,0.91,175.7080154,105.575,2.84E-08,0.20,4.22,0.61,0.91,0.91,1.92E-02,0.91,1.99E-05,422.94,8,4,32,13.216875,300,1.48E+04,0.91,0.91
1000,0.85,35.73279019,124.216,4.32E-05,0.91,175.7080154,105.575,4.32E-08,0.20,4.22,0.61,0.91,0.91,2.80E-02,0.91,4.32E-05,422.94,8,4,32,13.216875,300,1.54E+04,0.91,0.91
300,0.1,0.302535,-650.91,4.20E-02,0.000679299,0.24169,-587.185,1.40E-04,0.011795412,3.56184,0.61,0.000679299,0.000679299,3.31E+00,0.000679299,4.20E-02,206.97,4,5,20,10.3485,300,4.24E+05,0.000679299,0.000679299
400,0.189638,0.24169,-587.185,5.71E-02,0.001316611,0.24169,-587.185,1.43E-04,0.018604483,3.06714,0.61,0.001316611,0.001316611,4.14E+00,0.001316611,5.71E-02,206.97,4,5,20,10.3485,300,3.45E+05,0.001316611,0.001316611
700,0.386026,0.103099,-362.325,8.91E-02,0.007676368,0.24169,-587.185,1.27E-04,0.041301192,2.15813,0.61,0.007676368,0.007676368,9.70E+00,0.007676368,8.91E-02,206.97,4,5,20,10.3485,300,1.31E+05,0.007676368,0.007676368
1000,0.457147,8.44E-02,-282.213,9.44E-02,0.014005276,0.24169,-587.185,9.44E-05,0.0457147,2.06537,0.61,0.014005276,0.014005276,1.19E+01,0.014005276,9.44E-02,206.97,4,5,20,10.3485,300,7.96E+04,0.014005276,0.014005276
300,0.882422,0.00919163,-109.244,3.90E-02,0.053438059,0.0106095,-124.72,1.30E-04,0.026137018,1.49028,0.61,0.053438059,0.053438059,1.09E+02,0.053438059,3.90E-02,206.97,4,5,20,10.3485,300,1.19E+04,0.053438059,0.053438059
400,0.944579,0.0106095,-124.72,5.86E-02,0.062506727,0.0106095,-124.72,1.47E-04,0.039848239,1.47173,0.61,0.062506727,0.062506727,9.43E+01,0.062506727,5.86E-02,206.97,4,5,20,10.3485,300,1.56E+04,0.062506727,0.062506727
700,1.1113,0.0155708,-168.417,1.28E-01,0.068489752,0.0106095,-124.72,1.82E-04,0.079617332,1.60159,0.61,0.068489752,0.068489752,6.42E+01,0.068489752,1.28E-01,206.97,4,5,20,10.3485,300,2.84E+04,0.068489752,0.068489752
1000,2.06923,0.0186642,-244.888,3.21E-01,0.081000496,0.0106095,-124.72,3.21E-04,0.199082397,1.61396,0.61,0.081000496,0.081000496,5.36E+01,0.081000496,3.21E-01,206.97,4,5,20,10.3485,300,6.00E+04,0.081000496,0.081000496
300,0.519785,0.00389918,-52.8011,2.15E-02,0.108812986,0.0043831,-60.084,7.15E-05,0.012433026,1.72527,0.61,0.108812986,0.108812986,2.56E+02,0.108812986,2.15E-02,207.52,4,5,20,10.376,300,2.79E+03,0.108812986,0.108812986
400,0.598425,0.0043831,-60.084,3.29E-02,0.135885036,0.0043831,-60.084,8.24E-05,0.020104787,1.63869,0.61,0.135885036,0.135885036,2.28E+02,0.135885036,3.29E-02,207.52,4,5,20,10.376,300,3.61E+03,0.135885036,0.135885036
700,0.837674,0.00614631,-84.6639,8.16E-02,0.172179181,0.0043831,-60.084,1.17E-04,0.050580993,1.61396,0.61,0.172179181,0.172179181,1.63E+02,0.172179181,8.16E-02,207.52,4,5,20,10.376,300,7.17E+03,0.172179181,0.172179181
1000,1.37033,0.00782461,-128.361,2.11E-01,0.196985944,0.0043831,-60.084,2.11E-04,0.133018362,1.58304,0.61,0.196985944,0.196985944,1.28E+02,0.196985944,2.11E-01,207.52,4,5,20,10.376,300,1.65E+04,0.196985944,0.196985944
300,0.335165,0.00336145,-38.2353,1.30E-02,0.132388483,0.00359065,-49.1597,4.35E-05,0.007932122,1.64488,0.61,0.132388483,0.132388483,2.97E+02,0.132388483,1.30E-02,207.52,4,5,20,10.376,300,1.46E+03,0.132388483,0.132388483
400,0.35777,0.00359065,-49.1597,2.69E-02,0.173058046,0.00359065,-49.1597,6.73E-05,0.017140379,1.57067,0.61,0.173058046,0.173058046,2.79E+02,0.173058046,2.69E-02,207.52,4,5,20,10.376,300,2.42E+03,0.173058046,0.173058046
700,0.356355,0.00481615,-60.9944,5.41E-02,0.212408956,0.00359065,-49.1597,7.72E-05,0.032386419,1.66961,0.61,0.212408956,0.212408956,2.08E+02,0.212408956,5.41E-02,207.52,4,5,20,10.376,300,3.72E+03,0.212408956,0.212408956
1000,1.2022,0.00595672,-101.05,1.71E-01,0.241757253,0.00359065,-49.1597,1.71E-04,0.101172463,1.69435,0.61,0.241757253,0.241757253,1.68E+02,0.241757253,1.71E-01,207.52,4,5,20,10.376,300,1.02E+04,0.241757253,0.241757253
300,0.85,0.0152199,-9.10364,1.63E-04,0.91,0.0120812,-20.028,5.45E-07,0.20,4.22,0.61,0.91,0.91,6.57E+01,0.91,1.63E-04,207.52,4,5,20,10.376,300,8.29E+01,0.91,0.91
400,0.85,0.0120812,-20.028,1.33E-03,0.91,0.0120812,-20.028,3.32E-06,0.20,4.22,0.61,0.91,0.91,8.28E+01,0.91,1.33E-03,207.52,4,5,20,10.376,300,4.01E+02,0.91,0.91
700,0.85,0.0106181,-50.9804,1.71E-02,0.91,0.0120812,-20.028,2.45E-05,0.20,4.22,0.61,0.91,0.91,9.42E+01,0.91,1.71E-02,207.52,4,5,20,10.376,300,2.60E+03,0.91,0.91
1000,0.85,0.0110794,-25.4902,5.86E-03,0.91,0.0120812,-20.028,5.86E-06,0.20,4.22,0.61,0.91,0.91,9.03E+01,0.91,5.86E-03,207.52,4,5,20,10.376,300,6.50E+02,0.91,0.91
300,0.85,0.0135192,-156.078,5.41E-02,0.005599588,0.0149487,-172.722,1.80E-04,0.005590487,9.6695,0.61,0.005599588,0.005599588,7.40E+01,0.005599588,5.41E-02,1035.51,16,5,80,12.943875,300,2.44E+04,0.005599588,0.005599588
400,0.85,0.0149487,-172.722,7.98E-02,0.009639327,0.0149487,-172.722,2.00E-04,0.011785614,6.77329,0.61,0.009639327,0.009639327,6.69E+01,0.009639327,7.98E-02,1035.51,16,5,80,12.943875,300,2.98E+04,0.009639327,0.009639327
700,0.85,0.0194842,-202.219,1.47E-01,0.022677028,0.0149487,-172.722,2.10E-04,0.038004955,3.86562,0.61,0.022677028,0.022677028,5.13E+01,0.022677028,1.47E-01,1035.51,16,5,80,12.943875,300,4.09E+04,0.022677028,0.022677028
1000,0.85,0.0229674,-222.736,2.16E-01,0.035695338,0.0149487,-172.722,2.16E-04,0.072577584,2.97623,0.61,0.035695338,0.035695338,4.35E+01,0.035695338,2.16E-01,1035.51,16,5,80,12.943875,300,4.96E+04,0.035695338,0.035695338
300,0.85,0.00210578,-88.5671,1.12E-01,0.037963705,0.0023498,-105.832,3.73E-04,0.012204602,9.1565,0.61,0.037963705,0.037963705,4.75E+02,0.037963705,1.12E-01,1035.51,16,5,80,12.943875,300,7.84E+03,0.037963705,0.037963705
400,0.85,0.0023498,-105.832,1.91E-01,0.060607469,0.0023498,-105.832,4.77E-04,0.027820846,6.85319,0.61,0.060607469,0.060607469,4.26E+02,0.060607469,1.91E-01,1035.51,16,5,80,12.943875,300,1.12E+04,0.060607469,0.060607469
700,0.85,0.00337115,-146.168,4.44E-01,0.129158677,0.0023498,-105.832,6.34E-04,0.113093689,3.92271,0.61,0.129158677,0.129158677,2.97E+02,0.129158677,4.44E-01,1035.51,16,5,80,12.943875,300,2.14E+04,0.129158677,0.129158677
1000,0.85,0.0044955,-177.832,7.03E-01,0.185198513,0.0023498,-105.832,7.03E-04,0.240031089,2.93072,0.61,0.185198513,0.185198513,2.22E+02,0.185198513,7.03E-01,1035.51,16,5,80,12.943875,300,3.16E+04,0.185198513,0.185198513
